,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
76,Luciano Castán,L. Castán,68942,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,21,2.5,3.96,Luciano Castán da Silva,4.4,3,6.39,24,luciano-castan,7,0.6,,3.0,1.0,,,31.0,16.0,,5.0,12.0,,1.0,,,1.0,,117.0,,,4.0
77,Marinho,Marinho,68952,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png,13,5.78,4.75,Mário Sérgio Santos Costa,0.0,5,7.67,24,marinho,7,0.0,4.0,4.0,,,,10.0,14.0,5.0,14.0,37.0,1.0,2.0,,,,,55.0,,1.0,
78,Marquinhos Gabriel,M. Gabriel,68954,Goiás,290,https://s.glbimg.com/es/sde/f/2022/08/16/2fed32d21211f94e86843a534478ff9b_FORMATO.png,1,18.1,13.89,Marcos Gabriel do Nascimento,18.1,4,9.29,24,marquinhos-gabriel,7,5.29,1.0,,,,,2.0,,2.0,,1.0,,1.0,,,,,2.0,,,
79,Lucas Sasha,L. Sasha,68991,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/d91654c9e126e6f3f17fd09b816eedf5_FORMATO.png,7,4.57,1.89,Lucas Pacheco Affini,2.1,4,5.25,24,lucas-sasha,7,-0.27,,1.0,,,,24.0,7.0,3.0,3.0,7.0,,,,,,,32.0,,,
80,João Carlos,J. Carlos,69010,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/05/28/9d5caf065f11413aa6bf28e1d6b8acf8_FORMATO.png,1,2.0,3.35,João Carlos Heidemann,0.0,1,3.36,24,joao-carlos,6,0.0,,,,4.0,,,,,,,,,,2.0,,,,,,
81,Santos,Santos,69012,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png,11,5.46,7.94,Aderbar Melo dos Santos Neto,9.0,1,10.55,24,santos,7,1.08,,,,34.0,,,,,,2.0,,,,5.0,,,,,,6.0
82,Manoel,Manoel,69014,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,19,4.93,9.03,Manoel Messias Silva Carvalho,10.6,3,9.32,24,manoel,7,1.65,1.0,3.0,,,,18.0,15.0,,8.0,18.0,,4.0,,,,,76.0,,,7.0
83,Marcelo Cirino,M. Cirino,69022,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/03/11/d66ed90e8284dc651e111fbb2768dd6d_FORMATO.png,11,0.88,1.07,Marcelo Cirino da Silva,0.0,5,3.42,24,marcelo-cirino,5,0.0,,1.0,,,,7.0,4.0,1.0,3.0,4.0,,,,,5.0,,26.0,,1.0,
84,Paulinho,Paulinho,69034,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png,3,2.93,11.41,José Paulo Bezerra Maciel Júnior,0.0,4,10.81,24,paulinho,5,0.0,,,,,,1.0,2.0,,,1.0,,1.0,,,,,3.0,,,
85,Vladimir,Vladimir,69040,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/21/e22d32eba9a08cd74e7a00236a0e70b1_FORMATO.png,13,2.38,1.92,Vladimir Orlando Cardoso de Araújo Filho,2.0,1,3.95,24,vladimir,7,-0.14,,2.0,,42.0,,,,,,2.0,,,,20.0,,,,,,2.0
86,Vargas,Vargas,69102,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/6065a132d7becbd440321ccdabb1a775_FORMATO.png,14,3.09,3.68,Eduardo Jesús Vargas Rojas,0.0,5,7.49,24,vargas,6,0.0,2.0,1.0,,,,9.0,9.0,7.0,12.0,8.0,,1.0,,,2.0,,38.0,,,
87,Pablo,Pablo,69138,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png,13,2.96,-0.19,Pablo Felipe Teixeira,-0.7,5,4.8,24,pablo,7,-0.25,1.0,4.0,,,,8.0,21.0,8.0,8.0,11.0,1.0,2.0,,,10.0,,53.0,,,
88,Ricardo Bueno,R. Bueno,69141,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/5a5fd135b7af74db9adec269ad234d5b_FORMATO.png,15,1.95,4.39,Ricardo Bueno da Silva,0.0,5,5.41,24,ricardo-bueno,6,0.0,,3.0,,,,9.0,12.0,5.0,5.0,24.0,1.0,1.0,,,4.0,,46.0,1.0,1.0,
89,Pablo,Pablo,69165,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/71280a4dfbfab7898164a7269b1a357e_FORMATO.png,15,3.9,4.56,Pablo Nascimento Castro,5.1,3,7.71,24,pablo,6,0.73,,4.0,,,,30.0,24.0,2.0,3.0,3.0,1.0,,,,1.0,,55.0,,,6.0
90,Sidimar,Sidimar,69189,Goiás,290,https://s.glbimg.com/es/sde/f/2022/04/29/c5cc58a18cf72c8dca55b618306e1483_FORMATO.png,5,3.34,1.88,Sidimar Fernando Cigolini,0.0,3,2.84,24,sidimar,5,0.0,,,,,,4.0,2.0,,2.0,4.0,,,,,,,11.0,,,2.0
91,Vidal,Vidal,69375,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/07/16/6f4d9def1a21eebe3b6c5ac66a060ec9_FORMATO.png,6,4.93,7.97,Arturo Erasmo Vidal Pardo,8.8,4,14.04,24,vidal,7,1.67,1.0,2.0,,,,9.0,8.0,,1.0,5.0,,2.0,,,,,11.0,,,
92,Nikão,Nikão,69705,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png,11,2.91,1.34,Maycon Vinícius Ferreira da Cruz,1.1,4,6.02,24,nikao,5,0.25,,2.0,,,,4.0,2.0,2.0,4.0,12.0,,3.0,,,3.0,,55.0,,,
93,Fellipe Bastos,F. Bastos,70116,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/4fc5c3b6693e46bf2e956854bbf5da76_FORMATO.png,18,1.76,1.46,Fellipe Ramos Ignez Bastos,0.0,4,3.52,24,fellipe-bastos,6,0.0,1.0,7.0,,,,21.0,17.0,9.0,9.0,12.0,,,,,,1.0,95.0,,,
94,Rafael,Rafael,70171,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/505b1bf76a770e85404c4bca2e727eee_FORMATO.png,1,2.1,2.44,Rafael Pereira da Silva,0.0,2,4.86,24,rafael,7,0.0,,,,,,2.0,,,,,,,,,,,3.0,,,
95,Eduardo Sasha,E. Sasha,70360,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/3da3eaef7ccc5ccb470a282ab0947902_FORMATO.png,17,3.33,2.5,Eduardo Colcenti Antunes,0.0,5,6.17,24,eduardo-sasha,2,0.0,,,,,,9.0,6.0,10.0,8.0,12.0,1.0,3.0,,,1.0,,37.0,,,
96,Gabriel,Gabriel,70449,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/07/12/3c4ca01b234ad722ed92a5df218fd329_FORMATO.png,0,0.0,7.24,Gabriel Vasconcelos Ferreira,0.0,1,6.0,24,gabriel,6,0.0,,,,,,,,,,,,,,,,,,,,
97,William Alves,W. Alves,70451,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/63b80e56373c995fe10a56cb06537c0a_FORMATO.png,0,0.0,0.99,William Alves de Oliveira,0.0,5,1.0,24,william-alves,6,0.0,,,,,,,,,,,,,,,,,,,,
98,Marllon,Marllon,70666,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,22,3.45,4.28,Marllon Gonçalves Jerônimo Borges,4.7,3,7.84,24,marllon,7,0.26,,2.0,,,,40.0,18.0,3.0,9.0,9.0,,,,,1.0,1.0,87.0,,,6.0
99,Léo Cittadini,L. Cittadini,70986,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/05/02/a520539e5df2a4364ad4c1b0050888cc_FORMATO.png,16,2.02,2.04,Leonardo Cittadini,2.1,4,4.39,24,leo-cittadini,2,-0.05,1.0,2.0,,,,13.0,14.0,1.0,5.0,13.0,,1.0,,,,,18.0,,,
100,Vina,Vina,71162,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png,18,2.79,3.51,Vinícius Goes Barbosa de Souza,4.0,4,5.1,24,vina,7,0.54,1.0,2.0,1.0,,,8.0,6.0,10.0,20.0,29.0,3.0,1.0,,,4.0,,177.0,,1.0,
101,Maicon,Maicon,71227,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/14/d137592918a80391170a5d4fdc021480_FORMATO.png,16,3.88,6.43,Maicon Pereira Roque,6.8,3,12.12,24,maicon,7,0.05,1.0,1.0,,,,25.0,5.0,3.0,4.0,6.0,,,,,2.0,,101.0,,,6.0
102,Fernando Miguel,F. Miguel,71571,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/02/23/66ea94ea2768ebd6a6cb8f102326d669_FORMATO.png,7,8.93,10.64,Fernando Miguel Kaufmann,12.5,1,8.71,24,fernando-miguel,7,1.22,,2.0,,29.0,,,,,,1.0,,,,,,,,,,7.0
103,João Paulo,J. Paulo,71602,América-MG,327,https://s.glbimg.com/es/sde/f/2022/04/10/e261c53cb607072efab6bcc6f7bd1836_FORMATO.png,6,2.32,3.01,João Paulo Gomes da Costa,0.0,2,3.4,24,joao-paulo,6,0.0,,,,,,9.0,3.0,1.0,2.0,,,,,,,,38.0,,,1.0
104,Weverton,Weverton,71631,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png,21,4.8,2.43,Weverton Pereira da Silva,2.0,1,11.29,24,weverton,7,-0.31,,,,66.0,,,,,,2.0,,,,16.0,,,,,,10.0
105,Raúl Cáceres,R. Cáceres,71680,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/24/641daa2c8e8e5423b42c703eb607615a_FORMATO.png,16,3.59,1.62,Raúl Alejandro Cáceres Bogado,1.5,2,5.29,24,raul-caceres,7,-0.9,1.0,1.0,,,,20.0,14.0,2.0,3.0,,,1.0,,,1.0,,91.0,,,6.0
106,Gustavo Gómez,G. Gómez,71684,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png,18,6.84,4.63,Gustavo Raúl Gómez Portillo,4.4,3,15.49,24,gustavo-gomez,7,0.12,,5.0,,,,30.0,19.0,3.0,6.0,13.0,,7.0,,,4.0,1.0,69.0,,,7.0
107,Óscar Ruíz,Ã. Ruíz,71691,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/29/898734e22fa875d79527394af4789eeb_FORMATO.png,15,3.08,0.56,Óscar Ramón Ruiz Roa,0.0,5,8.08,24,oscar-ruiz,7,-0.1,,1.0,,,,7.0,3.0,2.0,7.0,10.0,2.0,3.0,,,3.0,,42.0,,1.0,
108,Elton,Elton,71719,Juventude,286,https://s.glbimg.com/es/sde/f/2021/03/25/4acc17c022e5e1189305c3e76afa3528_FORMATO.png,7,1.64,5.54,Elton Júnior Melo Ataíde,6.5,4,3.85,24,elton,7,0.63,,2.0,,,,12.0,7.0,,2.0,3.0,,,,,1.0,,18.0,,,
109,Thiago Galhardo,T. Galhardo,71844,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/27deb38ffaefdd66a10d7f246dcc678f_FORMATO.png,5,2.12,2.48,Thiago Galhardo do Nascimento Rocha,2.3,5,7.3,24,thiago-galhardo,7,-0.37,,3.0,,,,8.0,6.0,3.0,2.0,8.0,,,,,,,34.0,,,
110,Gabriel Pires,G. Pires,71898,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/08/12/c1753038fcbfe1377f41a56fcb8c3657_FORMATO.png,2,5.55,1.91,Gabriel Appelt Pires,1.6,4,7.51,24,gabriel-pires,6,-1.05,,,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,7.0,,,
111,Bruno Cortez,B. Cortez,72079,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/23/da8da8af4eaf5969bda304828d27ac27_FORMATO.png,22,1.79,1.88,Bruno Cortês Barbosa,1.8,2,6.26,24,bruno-cortez,7,0.38,,6.0,,,,29.0,18.0,2.0,2.0,21.0,,,,,1.0,,185.0,,,4.0
112,Danilo Avelar,D. Avelar,72142,América-MG,327,https://s.glbimg.com/es/sde/f/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,10,2.53,6.85,Danilo Fernando Avelar,0.0,3,4.67,24,danilo-avelar,2,0.0,,1.0,,,,10.0,8.0,3.0,8.0,3.0,,,,,,,48.0,,,2.0
113,Everson,Everson,72294,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/bd899e9773980e79959b0ba714379a00_FORMATO.png,23,3.35,8.09,Everson Felipe Marques Pires,9.0,1,11.92,24,everson,7,1.28,,2.0,,53.0,1.0,,,,,2.0,,,,27.0,,,,,,9.0
114,Luiz Otávio,L. Otávio,72359,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/18d80f2c9d7f3c212842019dab63bd77_FORMATO.png,12,3.35,0.72,Luiz Otávio Anacleto Leandro,0.0,3,3.39,24,luiz-otavio,6,0.0,,4.0,,,,19.0,8.0,1.0,2.0,7.0,,1.0,,,1.0,2.0,34.0,,,3.0
115,Rodrigo Lindoso,R. Lindoso,72362,Ceará,354,https://s.glbimg.com/es/sde/f/2022/03/11/262543ac36f21decccf1617c277630d6_FORMATO.png,12,1.79,2.04,Rodrigo Oliveira Lindoso,0.0,4,4.13,24,rodrigo-lindoso,6,0.0,1.0,6.0,,,,15.0,11.0,2.0,4.0,13.0,,,,,,,44.0,,,
116,Felipe Alves,F. Alves,72372,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,4,6.75,7.72,Felipe Alves Raymundo,0.0,1,7.04,24,felipe-alves,6,0.0,,1.0,,15.0,1.0,,,,,,,,,3.0,,1.0,,,,2.0
117,Fernando Diniz,F. Diniz,72391,Fluminense,266,https://s.glbimg.com/es/sde/f/2021/05/09/62a59a2e7ec6602b8811cb920c3c3dba_FORMATO.png,20,4.69,2.84,Fernando Diniz Silva,2.66,6,10.08,24,fernando-diniz,7,-0.65,,,,,,,,,,,,,,,,,,,,
118,Bressan,Bressan,72491,Avaí,314,https://s.glbimg.com/es/sde/f/2022/03/08/0759780a94f5359aefe723b749494c0b_FORMATO.png,16,1.63,-0.63,Matheus Simonete Bressanelli,0.0,3,5.3,24,bressan,7,0.0,,3.0,,,,17.0,16.0,,2.0,6.0,1.0,,,,,1.0,80.0,,,3.0
119,Nicolas,Nicolas,72524,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png,16,2.54,0.62,Nicolas Godinho Johann,0.0,5,4.46,24,nicolas,6,0.0,1.0,,,,,4.0,19.0,3.0,8.0,17.0,,3.0,,,6.0,,54.0,,,
120,Maguinho,Maguinho,72532,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/08/b454661126187bdc0ef02a09e84e80ef_FORMATO.png,20,1.96,-1.38,Magno José da Silva,-2.1,2,3.36,24,maguinho,7,-1.07,,7.0,,,,21.0,24.0,1.0,9.0,9.0,,,,,2.0,1.0,96.0,,1.0,5.0
121,Matheus Cavichioli,M. Cavichioli,72580,América-MG,327,https://s.glbimg.com/es/sde/f/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,11,5.11,3.34,Matheus Fernando Cavichioli,3.5,1,7.0,24,matheus-cavichioli,7,-0.49,,,,45.0,,1.0,,,,2.0,,,,11.0,,,,,,4.0
122,Pedro Henrique,P. Henrique,72583,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,18,3.91,1.3,Pedro Henrique Konzen Medina da Silva,1.1,5,5.27,24,pedro-henrique,6,-0.98,,3.0,,,,18.0,17.0,6.0,15.0,20.0,1.0,4.0,,,6.0,,77.0,,1.0,
123,Lisca,Lisca,72588,Santos,277,https://s.glbimg.com/es/sde/f/2021/04/28/035bd47807f8e7c0a6cc5dd78a718cf0_FORMATO.png,6,4.73,4.3,Luiz Carlos Cirne Lima de Lorenzi,4.51,6,10.9,24,lisca,7,-0.15,,,,,,,,,,,,,,,,,,,,
124,Fernandinho,Fernandinho,72775,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/06/28/6c6eb043593091bc0d2998934a7cb0a9_FORMATO.png,4,2.45,5.15,Fernando Luiz Rosa,0.0,4,7.7,24,fernandinho,6,0.0,1.0,1.0,,,,3.0,9.0,3.0,2.0,4.0,,,,,,,23.0,,,
125,Mercado,Mercado,72951,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/a0ef6aa6bdbb6858462fa294d19eb211_FORMATO.png,19,3.29,6.2,Gabriel Iván Mercado,7.0,3,7.71,24,mercado,7,0.32,,5.0,1.0,,,24.0,16.0,2.0,2.0,13.0,,,,,2.0,,48.0,,1.0,8.0
126,Daniel Borges,D. Borges,73318,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/ce4af8aee58d0eef52f479ced5508ab5_FORMATO.png,19,2.75,4.98,Daniel Fortunato Borges,0.0,2,6.43,24,daniel-borges,6,0.0,2.0,1.0,1.0,,,22.0,12.0,2.0,3.0,11.0,,1.0,,,1.0,,195.0,,,5.0
127,Samuel Xavier,S. Xavier,73384,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png,20,4.94,0.25,Samuel Xavier Brito,-0.3,2,8.15,24,samuel-xavier,7,-0.41,2.0,1.0,,,,27.0,14.0,4.0,11.0,30.0,3.0,1.0,,,2.0,,137.0,,,6.0
128,Rafael Vaz,R. Vaz,73421,Avaí,314,https://s.glbimg.com/es/sde/f/2022/06/14/0cf5ee853af9ccb2eedcdd0295d6567a_FORMATO.png,8,1.24,-0.24,Rafael Vaz dos Santos,-0.6,3,2.82,24,rafael-vaz,6,-0.11,,1.0,,,,7.0,2.0,2.0,1.0,2.0,,,,,,1.0,51.0,,,1.0
129,Glédson,Glédson,73533,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/21/bc56106b0fb8c7ecaadd679cfb316662_FORMATO.png,0,-1.0,5.65,Glédson Ribeiro dos Santos,0.0,1,1.98,24,gledson,6,0.0,,1.0,,,,,,,,,,,,,,,,,,
130,Hernán Pérez,H. Pérez,73738,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/07/28/4f4ffac015541a4fba3f6cfc167fab01_FORMATO.png,1,0.2,3.89,Hernán Arsenio Pérez González,0.0,5,3.78,24,hernan-perez,6,0.0,,1.0,,,,1.0,4.0,1.0,1.0,,,,,,,,8.0,,,
131,Rodrigo Caio,R. Caio,73800,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/bdac1c0e302bfdde7669d77948814e95_FORMATO.png,8,1.84,2.94,Rodrigo Caio Coquette Russo,0.0,3,5.62,24,rodrigo-caio,6,0.0,,,,,,7.0,3.0,1.0,,4.0,,,,,,,10.0,,,1.0
132,Aloísio,Aloísio,73850,América-MG,327,https://s.glbimg.com/es/sde/f/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,12,3.04,1.84,Aloísio dos Santos Gonçalves,1.8,5,4.87,24,aloisio,6,-0.29,,,,,,4.0,21.0,12.0,4.0,11.0,1.0,2.0,,,10.0,,32.0,,,
133,Jean Cléber,J. Cléber,73858,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/23/30faa9be7f17fe35cfe84852c646b4c0_FORMATO.png,14,1.0,0.7,Jean Cléber Santos da Silva,0.6,4,2.19,24,jean-cleber,6,-0.48,,2.0,,,,14.0,11.0,,5.0,7.0,,,,,,,49.0,,,
134,Rodinei,Rodinei,73992,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/bced6ea22dafe56d6176080482dfe8d8_FORMATO.png,7,4.22,1.95,Rodinei Marcelo de Almeida,0.0,2,4.33,24,rodinei,6,0.0,1.0,,1.0,,,16.0,2.0,2.0,2.0,5.0,,,1.0,,,,46.0,,,2.0
135,Gatito Fernández,G. Fernández,74061,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png,21,3.5,0.45,Roberto Junior Fernández Torres,0.0,1,6.78,24,gatito-fernandez,7,-0.31,,1.0,,73.0,,,,,,5.0,,,,26.0,,,,,,5.0
136,Lucas Piazon,L. Piazon,74084,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/03/10/444cdcb13fd4a94042b454cbf58b95fb_FORMATO.png,12,0.59,1.13,Gustavo Lucas Domingues Piazón,1.1,4,2.53,24,lucas-piazon,6,-0.12,,1.0,1.0,,,11.0,6.0,2.0,,3.0,,,,,1.0,,43.0,,,
137,Paolo Guerrero,P. Guerrero,75295,Avaí,314,https://s.glbimg.com/es/sde/f/2022/07/21/76ea80eaf4be75564889296169c4de4a_FORMATO.png,5,1.38,3.54,José Paolo Guerrero Gonzales,4.0,5,4.9,24,paolo-guerrero,6,0.73,,1.0,,,,1.0,6.0,1.0,5.0,4.0,1.0,,,,1.0,,16.0,,,
138,Jorginho,Jorginho,77544,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/03/5e1a8b5625036eb3729fbae6272ea055_FORMATO.png,19,2.92,0.21,Jorge de Moura Xavier,-0.2,4,5.43,24,jorginho,7,-0.16,,6.0,,,,21.0,11.0,3.0,16.0,22.0,2.0,3.0,,,5.0,,172.0,,,
139,Auremir,Auremir,77570,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/fa84d067860cd66ce61c09be22c58e48_FORMATO.png,12,0.91,-1.45,Auremir Evangelista dos Santos,-2.0,4,1.17,24,auremir,7,-0.82,,1.0,,,,13.0,11.0,,2.0,1.0,,,,,,,26.0,,,
140,Vítor Pereira,V. Pereira,77713,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/03/08/a09307d6eae0cd7887cb3732e00d9c29_FORMATO.png,23,4.81,6.45,Vítor Manuel de Oliveira Lopes Pereira,7.02,6,12.59,24,vitor-pereira,7,0.91,,,,,,,,,,,,,,,,,,,,
141,Eduardo Barroca,E. Barroca,77774,Avaí,314,https://s.glbimg.com/es/sde/f/2022/03/08/832e107d799b9425491e065012f3ec3a_FORMATO.png,23,3.32,2.91,Eduardo de Souza Barroca,2.99,6,8.04,24,eduardo-barroca,7,0.23,,,,,,,,,,,,,,,,,,,,
142,William Pottker,W. Pottker,77809,Avaí,314,https://s.glbimg.com/es/sde/f/2022/04/14/bc751c43e207d9c789fbbabe7cdd337c_FORMATO.png,18,2.36,1.48,William de Oliveira Pottker,1.5,5,4.62,24,william-pottker,7,0.36,1.0,4.0,,,,17.0,13.0,9.0,5.0,26.0,,1.0,,,9.0,,98.0,1.0,4.0,
143,Madson,Madson,78077,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/e89e5811b9812fca6a75789451815b9e_FORMATO.png,19,4.02,4.53,Madson Ferreira dos Santos,4.9,2,8.48,24,madson,7,-0.29,1.0,5.0,,,,30.0,15.0,1.0,3.0,15.0,,1.0,,,1.0,,142.0,,,8.0
144,Renê,Renê,78445,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,14,4.98,5.25,Renê Rodrigues Martins,5.7,2,7.65,24,rene,7,-0.93,,,,,,36.0,9.0,,,13.0,,,,,,1.0,114.0,,,7.0
145,Jonathan Cafu,J. Cafu,78580,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2021/05/28/3c667df8f70bf19082f021fa20403c6c_FORMATO.png,8,0.44,1.33,Jonathan Renato Barbosa,0.0,5,2.26,24,jonathan-cafu,6,0.0,,,1.0,,,7.0,7.0,,,3.0,,,,,,,13.0,,,
146,Gabriel,Gabriel,78605,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/f20a9f6c8c6edb72777759bc796aaa64_FORMATO.png,20,3.73,0.03,Gabriel Girotto Franco,-0.5,4,6.0,24,gabriel,7,-0.55,,2.0,,,,67.0,37.0,,7.0,17.0,,,,,,,71.0,,,
147,Ramiro,Ramiro,78715,Corinthians,264,https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png,3,0.97,1.73,Ramiro Moschen Benetti,1.7,4,4.51,24,ramiro,6,0.15,,1.0,,,,3.0,3.0,1.0,,2.0,,,,,,,10.0,,,
148,Reinaldo,Reinaldo,78850,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/779ff87d6723d6c70d7caac56df86d5f_FORMATO.png,16,2.34,1.23,Reinaldo Manoel da Silva,1.1,2,4.51,24,reinaldo,3,0.04,3.0,3.0,,,,7.0,12.0,2.0,7.0,9.0,,1.0,,,,,152.0,,,3.0
149,Richard,Richard,78851,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/9d468ebf560bb9e0da9699ba4df38391_FORMATO.png,0,0.0,5.99,Richard de Oliveira da Costa,0.0,1,5.0,24,richard,6,0.0,,,,,,,,,,,,,,,,,,,,
150,Marcão Silva,M. Silva,78856,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/1137efd5de0473f1c88c49348353a899_FORMATO.png,14,1.03,1.74,Marcos Antônio Almeida Silva,1.9,4,2.55,24,marcao-silva,6,0.1,,,,,,10.0,12.0,4.0,3.0,,,,,,,,12.0,,,
151,Rafael Gava,R. Gava,78867,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png,17,1.46,-0.41,Rafael Gustavo Meneghel Gava,-0.9,4,3.07,24,rafael-gava,6,-0.75,1.0,2.0,1.0,,,18.0,14.0,7.0,6.0,15.0,1.0,,,,3.0,,159.0,,,
152,Douglas Borges,D. Borges,78893,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/837aacbeb34486f2c8bdc9348c44ba72_FORMATO.png,1,0.0,0.73,Douglas Borges,0.0,1,2.21,24,douglas-borges,6,0.0,,,,1.0,,,,,,,,,,1.0,,,,,,
153,Luiz Felipe,L. Felipe,79035,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/d93506f46370622558870dd37ada6bb5_FORMATO.png,4,7.48,4.63,Luiz Felipe do Nascimento dos Santos,0.0,3,4.73,24,luiz-felipe,6,0.0,1.0,1.0,,,,7.0,2.0,,1.0,1.0,,1.0,,,,,12.0,,,2.0
154,Alex Muralha,A. Muralha,79066,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/3f0e981ffc927c2f022666463cdf45ed_FORMATO.png,18,3.24,6.16,Alex Roberto Santana Rafael ,7.0,1,7.64,24,alex-muralha,7,0.58,,1.0,,56.0,,1.0,,,,4.0,,,,25.0,,,,,,5.0
