,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
78,João Carlos,J. Carlos,joao-carlos,10,1,2.9,1371,https://s.glbimg.com/es/sde/f/2021/05/28/9d5caf065f11413aa6bf28e1d6b8acf8_FORMATO.png,6,João Carlos Heidemann,2.25,0.0,38,69010,Cuiabá,0.0,-0.35,,,,,,,,1.0,,,,,,,,31.0,16.0,,,1.0
79,Santos,Santos,santos,19,1,10.33,262,https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png,6,Aderbar Melo dos Santos Neto,4.55,0.0,38,69012,Flamengo,0.0,7.98,1.0,1.0,,,8.0,,,2.0,,,,,,,,59.0,14.0,,,
80,Manoel,Manoel,manoel,30,3,7.9,266,https://s.glbimg.com/es/sde/f/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,7,Manoel Messias Silva Carvalho,3.66,-0.21,38,69014,Fluminense,4.3,6.08,3.0,22.0,21.0,122.0,11.0,2.0,12.0,22.0,4.0,,1.0,,1.0,,,,,,,
81,Marcelo Cirino,M. Cirino,marcelo-cirino,11,5,3.42,293,https://s.glbimg.com/es/sde/f/2022/03/11/d66ed90e8284dc651e111fbb2768dd6d_FORMATO.png,5,Marcelo Cirino da Silva,0.88,0.0,38,69022,Athlético-PR,0.0,1.35,1.0,7.0,4.0,26.0,,,3.0,4.0,,5.0,,1.0,,,1.0,,,,,
82,Paulinho,Paulinho,paulinho,3,4,10.81,264,https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png,5,José Paulo Bezerra Maciel Júnior,2.93,0.0,38,69034,Corinthians,0.0,7.46,,1.0,2.0,3.0,,,,1.0,1.0,,,,,,,,,,,
83,Vladimir,Vladimir,vladimir,22,1,6.01,314,https://s.glbimg.com/es/sde/f/2022/02/21/e22d32eba9a08cd74e7a00236a0e70b1_FORMATO.png,6,Vladimir Orlando Cardoso de Araújo Filho,2.68,0.0,38,69040,Avaí,0.0,12.3,3.0,1.0,,,3.0,,,2.0,,,,,1.0,,,75.0,36.0,,,1.0
84,Vargas,Vargas,vargas,23,5,8.52,282,https://s.glbimg.com/es/sde/f/2022/07/15/6065a132d7becbd440321ccdabb1a775_FORMATO.png,7,Eduardo Jesús Vargas Rojas,4.11,-1.58,38,69102,Atlético-MG,8.7,18.08,2.0,14.0,14.0,67.0,,,18.0,17.0,5.0,6.0,3.0,11.0,,,,,,,,
85,Pablo,Pablo,pablo,25,5,5.0,293,https://s.sde.globo.com/media/person_role/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png,6,Pablo Felipe Teixeira,2.65,-0.08,38,69138,Athlético-PR,-0.3,0.61,5.0,17.0,41.0,97.0,,,16.0,18.0,4.0,13.0,1.0,10.0,,1.0,,,,,,
86,Ricardo Bueno,R. Bueno,ricardo-bueno,15,5,5.41,286,https://s.glbimg.com/es/sde/f/2022/03/03/5a5fd135b7af74db9adec269ad234d5b_FORMATO.png,6,Ricardo Bueno da Silva,1.95,0.0,38,69141,Juventude,0.0,4.84,3.0,9.0,12.0,46.0,,,5.0,24.0,1.0,4.0,,5.0,,1.0,1.0,,,,1.0,
87,Pablo,Pablo,pablo,22,3,6.62,262,https://s.glbimg.com/es/sde/f/2022/04/25/71280a4dfbfab7898164a7269b1a357e_FORMATO.png,6,Pablo Nascimento Castro,3.25,0.0,38,69165,Flamengo,0.0,1.07,5.0,37.0,29.0,73.0,7.0,,5.0,5.0,,1.0,,3.0,,1.0,,,,,,
88,Sidimar,Sidimar,sidimar,5,3,2.84,290,https://s.glbimg.com/es/sde/f/2022/04/29/c5cc58a18cf72c8dca55b618306e1483_FORMATO.png,6,Sidimar Fernando Cigolini,3.34,0.0,38,69189,Goiás,0.0,1.93,,4.0,2.0,11.0,2.0,,2.0,4.0,,,,,,,,,,,,
89,Vidal,Vidal,vidal,14,4,11.88,262,https://s.sde.globo.com/media/person_role/2022/07/16/6f4d9def1a21eebe3b6c5ac66a060ec9_FORMATO.png,6,Arturo Erasmo Vidal Pardo,3.66,0.0,38,69375,Flamengo,0.0,2.81,2.0,27.0,18.0,53.0,,,6.0,9.0,2.0,,1.0,2.0,1.0,,,,,,,
90,Nikão,Nikão,nikao,11,4,6.02,276,https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png,6,Maycon Vinícius Ferreira da Cruz,2.91,0.0,38,69705,São Paulo,0.0,2.79,2.0,4.0,2.0,55.0,,,4.0,12.0,3.0,3.0,,2.0,,,,,,,,
91,Fellipe Bastos,F. Bastos,fellipe-bastos,25,4,2.67,290,https://s.glbimg.com/es/sde/f/2022/03/10/4fc5c3b6693e46bf2e956854bbf5da76_FORMATO.png,3,Fellipe Ramos Ignez Bastos,1.38,0.0,38,70116,Goiás,0.0,-1.96,10.0,22.0,20.0,108.0,,1.0,12.0,14.0,,,2.0,10.0,1.0,,,,,,,
92,Rafael,Rafael,rafael,7,2,5.32,263,https://s.glbimg.com/es/sde/f/2022/02/21/505b1bf76a770e85404c4bca2e727eee_FORMATO.png,6,Rafael Pereira da Silva,3.08,0.0,38,70171,Botafogo,0.0,5.25,1.0,13.0,7.0,24.0,2.0,,,3.0,,,,,,,,,,,,
93,Eduardo Sasha,E. Sasha,eduardo-sasha,25,5,5.82,282,https://s.glbimg.com/es/sde/f/2022/07/15/3da3eaef7ccc5ccb470a282ab0947902_FORMATO.png,6,Eduardo Colcenti Antunes,2.84,0.0,38,70360,Atlético-MG,0.0,0.94,,14.0,9.0,59.0,,,12.0,19.0,3.0,2.0,1.0,10.0,,1.0,,,,,,
94,Gabriel,Gabriel,gabriel,12,1,7.45,294,https://s.glbimg.com/es/sde/f/2022/07/12/3c4ca01b234ad722ed92a5df218fd329_FORMATO.png,7,Gabriel Vasconcelos Ferreira,4.71,1.98,38,70449,Coritiba,10.0,-1.14,2.0,,,,4.0,,,1.0,,,,,1.0,,,41.0,16.0,,,2.0
95,William Alves,W. Alves,william-alves,0,5,1.0,294,https://s.glbimg.com/es/sde/f/2022/02/23/63b80e56373c995fe10a56cb06537c0a_FORMATO.png,6,William Alves de Oliveira,0.0,0.0,38,70451,Coritiba,0.0,0.8,,,,,,,,,,,,,,,,,,,,
96,Marllon,Marllon,marllon,33,3,8.12,1371,https://s.glbimg.com/es/sde/f/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,7,Marllon Gonçalves Jerônimo Borges,3.22,1.09,38,70666,Cuiabá,7.4,0.76,3.0,52.0,25.0,108.0,8.0,,13.0,17.0,,1.0,1.0,3.0,2.0,,,,,,,
97,Léo Cittadini,L. Cittadini,leo-cittadini,19,4,4.06,293,https://s.glbimg.com/es/sde/f/2021/05/02/a520539e5df2a4364ad4c1b0050888cc_FORMATO.png,5,Leonardo Cittadini,1.9,0.0,38,70986,Athlético-PR,0.0,1.43,2.0,17.0,15.0,26.0,,,5.0,13.0,1.0,,1.0,1.0,,,,,,,,
98,Vina,Vina,vina,28,4,4.29,354,https://s.sde.globo.com/media/person_role/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png,6,Vinícius Goes Barbosa de Souza,2.19,0.0,38,71162,Ceará,0.0,0.66,5.0,9.0,10.0,270.0,,2.0,30.0,36.0,2.0,6.0,1.0,16.0,,3.0,1.0,,,,,
99,Maicon,Maicon,maicon,22,3,10.57,277,https://s.glbimg.com/es/sde/f/2022/03/14/d137592918a80391170a5d4fdc021480_FORMATO.png,7,Maicon Pereira Roque,3.49,-0.1,38,71227,Santos,1.1,2.59,1.0,34.0,8.0,136.0,7.0,,6.0,7.0,,2.0,1.0,4.0,,,,,,,,
100,Fernando Miguel,F. Miguel,fernando-miguel,20,1,8.59,356,https://s.glbimg.com/es/sde/f/2022/02/23/66ea94ea2768ebd6a6cb8f102326d669_FORMATO.png,7,Fernando Miguel Kaufmann,6.15,0.4,38,71571,Fortaleza,8.0,6.06,2.0,,,,12.0,,,4.0,,,,,,,,78.0,15.0,,,
101,João Paulo,J. Paulo,joao-paulo,6,2,3.4,327,https://s.glbimg.com/es/sde/f/2022/04/10/e261c53cb607072efab6bcc6f7bd1836_FORMATO.png,6,João Paulo Gomes da Costa,2.32,0.0,38,71602,América-MG,0.0,2.84,,9.0,3.0,38.0,1.0,,2.0,,,,,1.0,,,,,,,,
102,Weverton,Weverton,weverton,32,1,10.88,275,https://s.sde.globo.com/media/person_role/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png,6,Weverton Pereira da Silva,4.34,0.0,38,71631,Palmeiras,0.0,2.24,,1.0,,,15.0,,,4.0,,,,,,,,84.0,23.0,,,
103,Raúl Cáceres,R. Cáceres,raul-caceres,26,2,5.23,327,https://s.glbimg.com/es/sde/f/2022/02/24/641daa2c8e8e5423b42c703eb607615a_FORMATO.png,7,Raúl Alejandro Cáceres Bogado,3.43,-0.02,38,71680,América-MG,-0.4,0.3,1.0,30.0,22.0,188.0,10.0,,8.0,6.0,1.0,3.0,2.0,2.0,,,,,,,,
104,Gustavo Gómez,G. Gómez,gustavo-gomez,28,3,14.46,275,https://s.sde.globo.com/media/person_role/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png,3,Gustavo Raúl Gómez Portillo,6.3,0.0,38,71684,Palmeiras,0.0,1.31,8.0,48.0,30.0,104.0,12.0,,10.0,20.0,8.0,6.0,,5.0,1.0,,,,,,,
105,Óscar Ruíz,Ã. Ruíz,oscar-ruiz,22,5,7.81,286,https://s.glbimg.com/es/sde/f/2022/03/29/898734e22fa875d79527394af4789eeb_FORMATO.png,6,Óscar Ramón Ruiz Roa,2.74,0.0,38,71691,Juventude,0.0,1.85,1.0,10.0,4.0,62.0,,,11.0,13.0,4.0,5.0,,2.0,,2.0,1.0,,,,,
106,Elton,Elton,elton,17,4,3.03,286,https://s.glbimg.com/es/sde/f/2021/03/25/4acc17c022e5e1189305c3e76afa3528_FORMATO.png,6,Elton Júnior Melo Ataíde,1.82,0.0,38,71719,Juventude,0.0,-0.05,5.0,26.0,23.0,34.0,,,5.0,10.0,,1.0,1.0,1.0,,,,,,,,
107,Thiago Galhardo,T. Galhardo,thiago-galhardo,19,5,9.98,356,https://s.glbimg.com/es/sde/f/2022/07/16/27deb38ffaefdd66a10d7f246dcc678f_FORMATO.png,7,Thiago Galhardo do Nascimento Rocha,4.75,0.39,38,71844,Fortaleza,8.9,7.21,5.0,17.0,17.0,110.0,,,14.0,20.0,7.0,3.0,1.0,10.0,,,1.0,,,,1.0,
108,Gabriel Pires,G. Pires,gabriel-pires,14,4,7.03,263,https://s.glbimg.com/es/sde/f/2022/08/12/c1753038fcbfe1377f41a56fcb8c3657_FORMATO.png,3,Gabriel Appelt Pires,2.78,0.0,38,71898,Botafogo,0.0,2.84,3.0,18.0,11.0,72.0,,,5.0,10.0,2.0,,,3.0,1.0,1.0,,,,,,
109,Bruno Cortez,B. Cortez,bruno-cortez,27,2,6.67,314,https://s.glbimg.com/es/sde/f/2022/02/23/da8da8af4eaf5969bda304828d27ac27_FORMATO.png,5,Bruno Cortês Barbosa,2.08,0.0,38,72079,Avaí,0.0,4.21,7.0,41.0,19.0,232.0,5.0,,4.0,25.0,,1.0,,2.0,,,,,,,,
110,Danilo Avelar,D. Avelar,danilo-avelar,19,3,4.25,327,https://s.glbimg.com/es/sde/f/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,6,Danilo Fernando Avelar,2.8,0.51,38,72142,América-MG,3.0,0.41,2.0,18.0,21.0,90.0,3.0,,10.0,9.0,,,2.0,7.0,,1.0,,,,,,
111,Everson,Everson,everson,35,1,11.67,282,https://s.sde.globo.com/media/person_role/2022/07/15/bd899e9773980e79959b0ba714379a00_FORMATO.png,7,Everson Felipe Marques Pires,3.55,0.24,38,72294,Atlético-MG,8.0,7.12,5.0,,,,15.0,,,4.0,,,,,,,,80.0,35.0,,,1.0
112,Luiz Otávio,L. Otávio,luiz-otavio,21,3,3.77,354,https://s.glbimg.com/es/sde/f/2022/02/22/18d80f2c9d7f3c212842019dab63bd77_FORMATO.png,6,Luiz Otávio Anacleto Leandro,2.78,0.0,38,72359,Ceará,0.0,2.15,7.0,36.0,17.0,59.0,4.0,1.0,5.0,10.0,1.0,1.0,,1.0,3.0,,1.0,,,,,
113,Rodrigo Lindoso,R. Lindoso,rodrigo-lindoso,12,4,4.13,354,https://s.glbimg.com/es/sde/f/2022/03/11/262543ac36f21decccf1617c277630d6_FORMATO.png,5,Rodrigo Oliveira Lindoso,1.79,0.0,38,72362,Ceará,0.0,2.36,6.0,15.0,11.0,44.0,,,4.0,13.0,,,1.0,2.0,,,,,,,,
114,Felipe Alves,F. Alves,felipe-alves,15,1,7.46,276,https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,7,Felipe Alves Raymundo,5.27,0.67,38,72372,São Paulo,7.0,2.89,1.0,,,,5.0,,,,,,,,1.0,,,56.0,14.0,,,2.0
115,Fernando Diniz,F. Diniz,fernando-diniz,33,6,10.9,266,https://s.glbimg.com/es/sde/f/2021/05/09/62a59a2e7ec6602b8811cb920c3c3dba_FORMATO.png,7,Fernando Diniz Silva,4.85,-0.26,38,72391,Fluminense,5.37,7.63,,,,,,,,,,,,,,,,,,,,
116,Bressan,Bressan,bressan,19,3,5.43,314,https://s.glbimg.com/es/sde/f/2022/03/08/0759780a94f5359aefe723b749494c0b_FORMATO.png,6,Matheus Simonete Bressanelli,1.61,0.0,38,72491,Avaí,0.0,1.74,4.0,18.0,20.0,93.0,4.0,,3.0,8.0,,,,,1.0,1.0,,,,,,
117,Nicolas,Nicolas,nicolas,28,5,4.86,290,https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png,7,Nicolas Godinho Johann,2.29,0.24,38,72524,Goiás,2.7,1.55,,6.0,24.0,89.0,,,10.0,23.0,5.0,10.0,2.0,4.0,,,,,,,,
118,Maguinho,Maguinho,maguinho,31,2,3.41,290,https://s.glbimg.com/es/sde/f/2022/03/08/b454661126187bdc0ef02a09e84e80ef_FORMATO.png,7,Magno José da Silva,1.58,-0.12,38,72532,Goiás,-0.7,0.36,10.0,37.0,42.0,168.0,5.0,,10.0,20.0,,2.0,,1.0,1.0,,1.0,,,,,
119,Matheus Cavichioli,M. Cavichioli,matheus-cavichioli,25,1,7.53,327,https://s.glbimg.com/es/sde/f/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,7,Matheus Fernando Cavichioli,5.12,-0.61,38,72580,América-MG,1.0,5.24,1.0,1.0,1.0,,9.0,,,4.0,,,,,1.0,,,94.0,26.0,,,2.0
120,Pedro Henrique,P. Henrique,pedro-henrique,30,5,6.11,285,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,6,Pedro Henrique Konzen Medina da Silva,4.15,-1.06,38,72583,Internacional,1.9,8.04,6.0,29.0,36.0,155.0,,,25.0,42.0,7.0,17.0,1.0,15.0,,1.0,1.0,,,,,
121,Fernandinho,Fernandinho,fernandinho,13,4,6.74,293,https://s.sde.globo.com/media/person_role/2022/06/28/6c6eb043593091bc0d2998934a7cb0a9_FORMATO.png,7,Fernando Luiz Rosa,2.09,0.3,38,72775,Athlético-PR,2.4,1.21,5.0,13.0,26.0,79.0,,,4.0,15.0,1.0,1.0,2.0,3.0,,,,,,,,
122,Mercado,Mercado,mercado,26,3,8.05,285,https://s.sde.globo.com/media/person_role/2022/04/02/a0ef6aa6bdbb6858462fa294d19eb211_FORMATO.png,7,Gabriel Iván Mercado,3.93,-0.39,38,72951,Internacional,7.1,8.8,7.0,37.0,22.0,68.0,13.0,1.0,2.0,18.0,,2.0,,4.0,,,1.0,,,,,
123,Daniel Borges,D. Borges,daniel-borges,26,2,5.47,263,https://s.glbimg.com/es/sde/f/2022/02/21/ce4af8aee58d0eef52f479ced5508ab5_FORMATO.png,7,Daniel Fortunato Borges,2.83,-1.8,38,73318,Botafogo,-1.2,9.81,2.0,33.0,21.0,255.0,7.0,1.0,5.0,13.0,1.0,1.0,3.0,2.0,,,,,,,,
124,Samuel Xavier,S. Xavier,samuel-xavier,32,2,9.01,266,https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png,7,Samuel Xavier Brito,4.31,0.13,38,73384,Fluminense,5.7,5.5,5.0,36.0,26.0,231.0,11.0,,14.0,48.0,2.0,3.0,2.0,5.0,,3.0,,,,,,
125,Rafael Vaz,R. Vaz,rafael-vaz,16,3,3.37,314,https://s.glbimg.com/es/sde/f/2022/06/14/0cf5ee853af9ccb2eedcdd0295d6567a_FORMATO.png,6,Rafael Vaz dos Santos,1.38,0.0,38,73421,Avaí,0.0,2.59,2.0,15.0,6.0,112.0,2.0,,5.0,5.0,,,,3.0,1.0,,,,,,,
126,Glédson,Glédson,gledson,3,1,2.36,314,https://s.glbimg.com/es/sde/f/2022/02/21/bc56106b0fb8c7ecaadd679cfb316662_FORMATO.png,6,Glédson Ribeiro dos Santos,3.17,0.0,38,73533,Avaí,0.0,2.14,2.0,,,,1.0,,,3.0,,,,,,,,6.0,2.0,,,
127,Hernán Pérez,H. Pérez,hernan-perez,2,5,3.47,294,https://s.glbimg.com/es/sde/f/2022/07/28/4f4ffac015541a4fba3f6cfc167fab01_FORMATO.png,6,Hernán Arsenio Pérez González,0.95,0.0,38,73738,Coritiba,0.0,2.67,1.0,2.0,5.0,10.0,,,1.0,2.0,,,,1.0,,,,,,,,
128,Rodrigo Caio,R. Caio,rodrigo-caio,8,3,5.62,262,https://s.glbimg.com/es/sde/f/2022/04/25/bdac1c0e302bfdde7669d77948814e95_FORMATO.png,5,Rodrigo Caio Coquette Russo,1.84,0.0,38,73800,Flamengo,0.0,2.87,,7.0,3.0,10.0,1.0,,,4.0,,,,1.0,,,,,,,,
129,Aloísio,Aloísio,aloisio,22,5,4.95,327,https://s.glbimg.com/es/sde/f/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,6,Aloísio dos Santos Gonçalves,3.01,0.0,38,73850,América-MG,0.0,0.77,5.0,11.0,37.0,62.0,,,6.0,18.0,4.0,11.0,2.0,12.0,,2.0,,,,,,
130,Jean Cléber,J. Cléber,jean-cleber,23,4,1.91,314,https://s.glbimg.com/es/sde/f/2022/02/23/30faa9be7f17fe35cfe84852c646b4c0_FORMATO.png,6,Jean Cléber Santos da Silva,0.6,0.0,38,73858,Avaí,0.0,0.43,2.0,14.0,13.0,60.0,,,5.0,10.0,,,,,,,,,,,,
131,Rodinei,Rodinei,rodinei,15,2,4.2,262,https://s.glbimg.com/es/sde/f/2022/04/25/bced6ea22dafe56d6176080482dfe8d8_FORMATO.png,6,Rodinei Marcelo de Almeida,2.73,0.0,38,73992,Flamengo,0.0,1.76,,22.0,4.0,79.0,3.0,1.0,4.0,8.0,,,1.0,2.0,,,,,,1.0,,
132,Gatito Fernández,G. Fernández,gatito-fernandez,32,1,7.84,263,https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png,6,Roberto Junior Fernández Torres,3.36,0.0,38,74061,Botafogo,0.0,5.54,1.0,,,,9.0,,,6.0,,,,,,,,91.0,37.0,,,1.0
133,Lucas Piazon,L. Piazon,lucas-piazon,17,4,2.16,263,https://s.glbimg.com/es/sde/f/2022/03/10/444cdcb13fd4a94042b454cbf58b95fb_FORMATO.png,6,Gustavo Lucas Domingues Piazón,0.46,0.0,38,74084,Botafogo,0.0,0.24,2.0,12.0,7.0,50.0,,1.0,,6.0,,1.0,,2.0,,,,,,,,
134,Paolo Guerrero,P. Guerrero,paolo-guerrero,9,5,3.95,314,https://s.glbimg.com/es/sde/f/2022/07/21/76ea80eaf4be75564889296169c4de4a_FORMATO.png,5,José Paolo Guerrero Gonzales,0.91,0.0,38,75295,Avaí,0.0,1.4,1.0,1.0,11.0,20.0,,,7.0,5.0,,2.0,,2.0,,1.0,,,,,,
135,Jorginho,Jorginho,jorginho,30,4,5.22,373,https://s.glbimg.com/es/sde/f/2022/03/03/5e1a8b5625036eb3729fbae6272ea055_FORMATO.png,6,Jorge de Moura Xavier,1.97,0.3,38,77544,Atlético-GO,2.2,0.78,8.0,25.0,16.0,195.0,,1.0,19.0,30.0,3.0,6.0,,4.0,,2.0,,,,,,
136,Auremir,Auremir,auremir,25,4,1.92,290,https://s.glbimg.com/es/sde/f/2022/03/10/fa84d067860cd66ce61c09be22c58e48_FORMATO.png,7,Auremir Evangelista dos Santos,1.29,0.25,38,77570,Goiás,1.0,-0.29,5.0,35.0,35.0,83.0,,,4.0,16.0,,,,2.0,,,,,,,,
137,Vítor Pereira,V. Pereira,vitor-pereira,35,6,12.05,264,https://s.glbimg.com/es/sde/f/2022/03/08/a09307d6eae0cd7887cb3732e00d9c29_FORMATO.png,7,Vítor Manuel de Oliveira Lopes Pereira,4.71,-0.09,38,77713,Corinthians,3.51,4.87,,,,,,,,,,,,,,,,,,,,
138,William Pottker,W. Pottker,william-pottker,25,5,4.8,314,https://s.glbimg.com/es/sde/f/2022/04/14/bc751c43e207d9c789fbbabe7cdd337c_FORMATO.png,6,William de Oliveira Pottker,2.6,0.0,38,77809,Avaí,0.0,1.67,6.0,20.0,21.0,146.0,,,9.0,39.0,3.0,13.0,1.0,12.0,1.0,,4.0,,,,1.0,
139,Madson,Madson,madson,26,2,8.25,277,https://s.glbimg.com/es/sde/f/2022/03/03/e89e5811b9812fca6a75789451815b9e_FORMATO.png,6,Madson Ferreira dos Santos,4.29,0.0,38,78077,Santos,0.0,3.06,5.0,39.0,17.0,184.0,9.0,,4.0,20.0,3.0,1.0,2.0,1.0,,,,,,,,
140,Renê,Renê,rene,27,2,9.0,285,https://s.glbimg.com/es/sde/f/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,7,Renê Rodrigues Martins,5.61,-0.19,38,78445,Internacional,7.3,7.97,,75.0,18.0,256.0,14.0,,2.0,31.0,,,1.0,1.0,1.0,,,,,,,
141,Jonathan Cafu,J. Cafu,jonathan-cafu,14,5,3.81,1371,https://s.glbimg.com/es/sde/f/2021/05/28/3c667df8f70bf19082f021fa20403c6c_FORMATO.png,7,Jonathan Renato Barbosa,2.55,1.31,38,78580,Cuiabá,9.0,1.23,,11.0,9.0,39.0,,1.0,4.0,11.0,2.0,1.0,1.0,2.0,,,,,,,,
142,Gabriel,Gabriel,gabriel,25,4,7.18,285,https://s.glbimg.com/es/sde/f/2022/04/02/f20a9f6c8c6edb72777759bc796aaa64_FORMATO.png,5,Gabriel Girotto Franco,3.75,0.0,38,78605,Internacional,0.0,6.12,2.0,83.0,45.0,105.0,,,7.0,26.0,,,,1.0,,,,,,,,
143,Ramiro,Ramiro,ramiro,12,4,4.31,264,https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png,7,Ramiro Moschen Benetti,1.7,-0.22,38,78715,Corinthians,0.7,2.36,3.0,15.0,8.0,41.0,,,,5.0,,2.0,1.0,3.0,,,1.0,,,,,
144,Reinaldo,Reinaldo,reinaldo,25,2,5.63,276,https://s.sde.globo.com/media/person_role/2022/03/01/779ff87d6723d6c70d7caac56df86d5f_FORMATO.png,6,Reinaldo Manoel da Silva,2.78,0.75,38,78850,São Paulo,7.4,2.61,3.0,17.0,15.0,226.0,5.0,,9.0,11.0,3.0,1.0,3.0,2.0,,,,,,,,
145,Richard,Richard,richard,1,1,3.69,354,https://s.glbimg.com/es/sde/f/2022/02/22/9d468ebf560bb9e0da9699ba4df38391_FORMATO.png,7,Richard de Oliveira da Costa,2.0,0.28,38,78851,Ceará,2.0,4.71,2.0,,,,,,,,,,,,,,,3.0,1.0,,,
146,Marcão Silva,M. Silva,marcao-silva,25,4,3.01,1371,https://s.glbimg.com/es/sde/f/2022/02/23/1137efd5de0473f1c88c49348353a899_FORMATO.png,6,Marcos Antônio Almeida Silva,1.21,0.0,38,78856,Cuiabá,0.0,3.59,1.0,25.0,24.0,40.0,,,6.0,3.0,,,,5.0,,,,,,,,
147,Rafael Gava,R. Gava,rafael-gava,28,4,3.34,1371,https://s.glbimg.com/es/sde/f/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png,7,Rafael Gustavo Meneghel Gava,1.54,0.11,38,78867,Cuiabá,0.7,0.26,2.0,27.0,29.0,262.0,,1.0,11.0,21.0,1.0,4.0,2.0,9.0,,1.0,,,,,,
148,Douglas Borges,D. Borges,douglas-borges,1,1,2.21,263,https://s.glbimg.com/es/sde/f/2022/02/21/837aacbeb34486f2c8bdc9348c44ba72_FORMATO.png,6,Douglas Borges,0.0,0.0,38,78893,Botafogo,0.0,0.83,,,,,,,,,,,,,,,,1.0,1.0,,,
149,Luiz Felipe,L. Felipe,luiz-felipe,13,3,3.98,277,https://s.glbimg.com/es/sde/f/2022/03/03/d93506f46370622558870dd37ada6bb5_FORMATO.png,7,Luiz Felipe do Nascimento dos Santos,3.41,0.23,38,79035,Santos,0.4,-1.0,3.0,16.0,13.0,40.0,4.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,
150,Alex Muralha,A. Muralha,alex-muralha,19,1,7.34,294,https://s.sde.globo.com/media/person_role/2022/02/23/3f0e981ffc927c2f022666463cdf45ed_FORMATO.png,6,Alex Roberto Santana Rafael,3.28,0.0,38,79066,Coritiba,0.0,5.23,1.0,1.0,,,5.0,,,4.0,,,,,,,,62.0,27.0,,,
151,Víctor Cuesta,V. Cuesta,victor-cuesta,29,3,9.59,263,https://s.glbimg.com/es/sde/f/2022/04/13/4f3258f391a28a24859ea19abee67739_FORMATO.png,7,Víctor Leandro Cuesta,5.29,-0.23,38,79113,Botafogo,3.5,5.61,8.0,63.0,28.0,123.0,10.0,,7.0,11.0,4.0,2.0,2.0,3.0,,,,,,,,
152,Silvio Romero,S. Romero,silvio-romero,29,5,4.28,356,https://s.glbimg.com/es/sde/f/2022/05/12/c5b6ac96aea31d2271156591230c8f4c_FORMATO.png,6,Silvio Ezequiel Romero,1.44,-1.26,38,79188,Fortaleza,6.0,13.3,1.0,2.0,4.0,60.0,,,14.0,10.0,2.0,12.0,2.0,9.0,,,,,,,1.0,
153,Ricardo Silva,R. Silva,ricardo-silva,11,3,3.99,327,https://s.glbimg.com/es/sde/f/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,6,Ricardo César Dantas da Silva,2.82,0.0,38,79334,América-MG,0.0,0.55,2.0,10.0,13.0,37.0,5.0,,2.0,6.0,,,,,1.0,,,,,,,
154,Cano,Cano,cano,37,5,16.73,266,https://s.sde.globo.com/media/person_role/2022/04/20/5bb8f223990a3b79975f90d376fb341a_FORMATO.png,7,Germán Ezequiel Cano,7.86,0.65,38,79631,Fluminense,13.0,9.91,1.0,13.0,24.0,113.0,,,30.0,15.0,25.0,24.0,2.0,33.0,,5.0,1.0,,,,,
