,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
79,Bruno Uvini,18,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,,31,Grêmio,0.05,70221,1.2,B. Uvini,3,2,3.26,1.9,True,bruno-uvini,Bruno Uvini,284,10.0,4.0,6.0,4.0,13.0,3.0,,,2.0,,,1.0,,1.0,,,,1.0,,,
80,Diego da Silva Costa,8,https://s.sde.globo.com/media/person_role/2023/08/12/photo_FORMATO_RCzvL0a.png,,31,Botafogo,0.0,70316,0.0,D. Costa,5,6,8.15,2.84,False,diego-costa,Diego Costa,263,5.0,1.0,4.0,3.0,8.0,3.0,,,,,,,3.0,2.0,,,,,,,
81,Eduardo Colcenti Antunes,25,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,,31,Bragantino,0.14,70360,4.0,E. Sasha,5,7,11.72,5.83,True,eduardo-sasha,Eduardo Sasha,280,9.0,18.0,35.0,3.0,18.0,11.0,,,,,2.0,3.0,7.0,10.0,,,,,,,
82,Gabriel Vasconcelos Ferreira - Vasconcellos,27,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_mJVxu6R.png,,31,Coritiba,-1.56,70449,0.0,Gabriel,1,7,4.87,2.81,True,gabriel,Gabriel,294,,,2.0,3.0,,,103.0,57.0,4.0,,1.0,,,,,,,,,1.0,
83,Marllon Gonçalves Jerônimo Borges,27,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,,31,Cuiabá,-0.84,70666,1.2,Marllon,3,7,7.14,3.25,True,marllon,Marllon,1371,28.0,7.0,13.0,7.0,22.0,3.0,,,8.0,,1.0,,1.0,1.0,,,,1.0,,,
84,Enner Remberto Valencia Lastra,15,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,,31,Internacional,0.81,70788,12.9,E. Valencia,5,7,11.57,5.63,True,enner-valencia,Enner Valencia,285,5.0,12.0,24.0,4.0,17.0,13.0,,,,,1.0,1.0,16.0,6.0,,,,,1.0,,
85,Diogo Barbosa Mendanha,18,https://s.sde.globo.com/media/person_role/2023/06/23/photo_FORMATO.png,,31,Fluminense,0.0,70916,0.0,D. Barbosa,2,6,7.34,3.27,False,diogo-barbosa,Diogo Barbosa,266,16.0,2.0,17.0,2.0,7.0,1.0,,,4.0,,1.0,,4.0,1.0,,,,,,,
86,Bruno Henrique Corsini,14,https://s.sde.globo.com/media/person_role/2023/07/19/photo_FORMATO_oLjIZUt.png,,31,Internacional,-1.31,70944,0.0,B. Henrique,4,6,7.31,3.02,True,bruno-henrique,Bruno Henrique,285,11.0,4.0,18.0,2.0,20.0,5.0,,,,,,1.0,,2.0,,,,,,,
87,Florent Dimitri Payet,10,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_p9gc9dj.png,,31,Vasco,-0.05,70984,1.0,Payet,4,2,9.11,2.39,True,payet,Payet,267,3.0,2.0,11.0,,3.0,1.0,,,,,1.0,,,1.0,,,,,,,
88,Leonardo Cittadini,10,https://s.sde.globo.com/media/person_role/2023/07/28/photo_FORMATO_SboFC8B.png,,31,Bahia,0.0,70986,0.0,L. Cittadini,4,6,1.93,1.15,False,leo-cittadini,Léo Cittadini,265,8.0,1.0,6.0,1.0,11.0,2.0,,,,,,,,,,,,,,,
89,Maicon Pereira Roque,11,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO.png,,31,Vasco,0.06,71227,7.4,Maicon,3,7,6.53,4.11,True,maicon,Maicon,267,12.0,1.0,4.0,2.0,4.0,1.0,,,5.0,,1.0,,,,,,,,,,
90,Fernando Miguel Kaufmann,5,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,,31,Fortaleza,0.0,71571,0.0,F. Miguel,1,6,8.8,4.6,False,fernando-miguel,Fernando Miguel,356,,,,,,,23.0,5.0,1.0,,,,,,,,,,,,
91,Weverton Pereira da Silva,28,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,,31,Palmeiras,0.5,71631,9.0,Weverton,1,7,10.72,4.35,True,weverton,Weverton,275,1.0,,5.0,2.0,,,82.0,24.0,11.0,,,,,,,,,,,1.0,
92,Gustavo Raúl Gómez Portillo,28,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,,31,Palmeiras,-0.53,71684,5.1,G. Gómez,3,3,10.23,4.59,True,gustavo-gomez,Gustavo Gómez,275,39.0,10.0,22.0,9.0,33.0,3.0,,,10.0,,2.0,1.0,9.0,2.0,,,,,,,
93,Thiago Galhardo do Nascimento Rocha,25,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,,31,Fortaleza,-0.22,71844,2.4,T. Galhardo,5,6,7.39,3.79,True,thiago-galhardo,Thiago Galhardo,356,14.0,20.0,27.0,5.0,11.0,13.0,,,,,2.0,,8.0,4.0,,,,,,,
94,Gabriel Appelt Pires,11,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,,31,Botafogo,-0.18,71898,0.2,G. Pires,4,2,4.84,3.12,True,gabriel-pires,Gabriel Pires,263,22.0,5.0,6.0,1.0,12.0,3.0,,,,,1.0,,,,,,1.0,,,,
95,Juan Manuel Iturbe Arévalos,5,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_jd2MPl6.png,,31,Grêmio,0.0,72134,0.0,Iturbe,5,5,4.07,1.54,False,iturbe,Iturbe,284,7.0,,2.0,,5.0,,,,,,,,2.0,,,,,,,,
96,Danilo Fernando Avelar,22,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ZY6VlZB.png,,31,América-MG,-0.2,72142,0.5,D. Avelar,3,2,5.51,3.47,True,danilo-avelar,Danilo Avelar,327,26.0,12.0,12.0,4.0,39.0,7.0,,1.0,2.0,,1.0,1.0,2.0,3.0,,,1.0,1.0,,,
97,Everson Felipe Marques Pires,30,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,,31,Atlético-MG,-1.28,72294,0.0,Everson,1,7,6.73,3.93,True,everson,Everson,282,,,8.0,5.0,,,83.0,24.0,12.0,,,,,,,,,,,,
98,Felipe Alves Raymundo,0,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,,31,São Paulo,0.0,72372,0.0,F. Alves,1,6,6.0,0.0,False,felipe-alves,Felipe Alves,276,,,,,,,,,,,,,,,,,,,,,
99,Fernando Diniz Silva,30,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,,31,Fluminense,0.0,72391,0.0,F. Diniz,6,6,14.02,5.03,False,fernando-diniz,Fernando Diniz,266,,,,,,,,,,13.0,,,,,,,,,,,
100,Gustavo Campanharo,13,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,,31,Internacional,0.0,72497,0.0,G. Campanharo,4,6,5.12,2.38,False,gustavo-campanharo,Gustavo Campanharo,285,28.0,1.0,9.0,5.0,21.0,3.0,,,,,,,,,,,,,,,
101,Magno José da Silva,27,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,,31,Goiás,0.58,72532,3.8,Maguinho,2,7,5.21,3.42,True,maguinho,Maguinho,290,35.0,13.0,26.0,6.0,63.0,1.0,,,8.0,,,,,2.0,,1.0,2.0,,,,
102,Matheus Fernando Cavichioli,13,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_y1nPYhf.png,,31,América-MG,0.0,72580,0.0,M. Cavichioli,1,6,5.08,2.09,False,matheus-cavichioli,Matheus Cavichioli,327,,,1.0,,1.0,,42.0,28.0,1.0,,,,,,1.0,,1.0,,,2.0,
103,Pedro Henrique Konzen Medina da Silva,22,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,,31,Internacional,0.43,72583,2.7,P. Henrique,5,6,6.15,2.41,True,pedro-henrique,Pedro Henrique,285,17.0,16.0,17.0,2.0,37.0,6.0,,,,,2.0,,16.0,1.0,,1.0,,,,,
104,Maurício Kozlinski,1,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,,31,Fortaleza,0.0,72595,0.0,M. Kozlinski,1,6,4.92,6.0,False,mauricio-kozlinski,Maurício Kozlinski,356,,,,,,,1.0,,1.0,,,,,,,,,,,,
105,Vitor Hugo Franchescoli de Souza,19,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,,31,Bahia,0.0,72605,0.0,V. Hugo,3,7,6.67,3.43,False,vitor-hugo,Vitor Hugo,265,25.0,5.0,11.0,3.0,16.0,1.0,,,5.0,,,,,1.0,,,,1.0,,,
106,Luiz Adriano de Souza da Silva,25,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,,31,Internacional,-0.98,72772,1.2,L. Adriano,5,6,5.96,2.69,True,luiz-adriano,Luiz Adriano,285,11.0,9.0,20.0,,11.0,7.0,,,,,1.0,2.0,3.0,3.0,,,1.0,,,,
107,Fernando Luiz Rosa,18,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,,31,Athlético-PR,0.42,72775,3.3,Fernandinho,4,6,5.74,2.5,True,fernandinho,Fernandinho,293,18.0,6.0,21.0,6.0,24.0,2.0,,,,,3.0,,1.0,1.0,,,1.0,1.0,,,
108,Gabriel Iván Mercado,20,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,,31,Internacional,0.43,72951,1.8,Mercado,3,7,5.21,2.44,True,mercado,Mercado,285,23.0,3.0,9.0,9.0,30.0,2.0,,,6.0,,,1.0,,,,,1.0,,,,
109,Daniel Fortunato Borges,9,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_eECHOtV.png,,31,América-MG,0.12,73318,2.0,D. Borges,2,6,4.56,1.38,True,daniel-borges,Daniel Borges,327,11.0,1.0,3.0,1.0,11.0,1.0,,,,,,1.0,,,,,1.0,,,,
110,Samuel Xavier Brito,23,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,,31,Fluminense,0.0,73384,0.0,S. Xavier,2,6,10.25,4.15,False,samuel-xavier,Samuel Xavier,266,21.0,14.0,34.0,7.0,21.0,2.0,,,7.0,,2.0,,4.0,1.0,,,,,,,
111,Jean Dias da Costa,10,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,,31,Internacional,0.0,73479,0.0,J. Dias,5,6,3.14,2.23,False,jean-dias,Jean Dias,285,2.0,3.0,12.0,1.0,5.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0
112,Bruno Fabiano Alves,24,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,,31,Grêmio,0.17,73620,1.3,B. Alves,3,7,5.69,1.91,True,bruno-alves,Bruno Alves,284,18.0,4.0,14.0,2.0,17.0,1.0,,,4.0,,,,2.0,,,,,,,,
113,Guilherme Costa Marques,24,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,,31,Goiás,0.68,73781,4.7,G. Marques,5,7,6.06,4.77,True,guilherme-marques,Guilherme Marques,290,24.0,11.0,14.0,4.0,34.0,5.0,,,,,6.0,1.0,3.0,6.0,,,1.0,,,,
114,Rodrigo Caio Coquette Russo,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,,31,Flamengo,-0.96,73800,0.0,R. Caio,3,6,3.01,0.0,True,rodrigo-caio,Rodrigo Caio,262,,,,,,,,,,,,,,,,,,,,,
115,Aloísio dos Santos Gonçalves,12,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_37LISS0.png,,31,América-MG,0.0,73850,0.0,Aloísio,5,6,7.85,4.57,False,aloisio,Aloísio,327,2.0,10.0,8.0,3.0,18.0,7.0,,,,,1.0,4.0,6.0,3.0,,,,,,,
116,Bruno da Silva Peres,3,https://s.sde.globo.com/media/person_role/2023/08/25/photo_220x220.png,,31,Athlético-PR,0.0,73962,0.0,B. Peres,2,2,4.57,1.43,False,bruno-peres,Bruno Peres,293,,,1.0,,4.0,,,,1.0,,,,,,,,,,,,
117,Alison Lopes Ferreira,5,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,,31,Santos,0.0,73974,0.0,Alison,4,5,3.03,1.24,False,alison,Alison,277,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,
118,Roberto Junior Fernández Torres,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,,31,Botafogo,0.0,74061,0.0,G. Fernández,1,6,6.23,2.0,False,gatito-fernandez,Gatito Fernández,263,,,,,,,3.0,1.0,,,,,,,,,,,,,
119,Tomás Eduardo Rincón Hernández,10,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_Obk9GWx.png,,31,Santos,-0.08,74187,0.9,Rincón,4,7,7.08,4.17,True,rincon,Rincón,277,16.0,1.0,11.0,4.0,23.0,,,,,,1.0,2.0,,2.0,,,,,,,
120,Madson Ferreira dos Santos,19,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,,31,Athlético-PR,0.0,78077,0.0,Madson,2,5,5.99,2.9,False,madson,Madson,293,6.0,2.0,16.0,3.0,16.0,3.0,,,5.0,,2.0,,3.0,1.0,,,,,,,
121,Everaldo Stum,26,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,,31,Bahia,0.0,78117,0.0,Everaldo,5,7,8.21,3.44,False,everaldo,Everaldo,265,11.0,9.0,21.0,5.0,22.0,11.0,,,,,2.0,,9.0,6.0,,,,,,,
122,Renê Rodrigues Martins,24,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8lPW5dD.png,,31,Internacional,0.0,78445,0.0,Renê,2,5,10.37,4.84,False,rene,Renê,285,45.0,3.0,31.0,4.0,19.0,1.0,,,8.0,,1.0,,1.0,1.0,,,,,,,
123,Jonathan Renato Barbosa,23,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,,31,Cuiabá,0.0,78580,0.0,J. Cafu,5,6,6.37,2.62,False,jonathan-cafu,Jonathan Cafu,1371,24.0,6.0,31.0,3.0,24.0,4.0,,,,,3.0,,5.0,,,2.0,,,,,
124,Gabriel Girotto Franco,12,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,,31,Internacional,-0.84,78605,0.0,Gabriel,4,6,4.28,1.7,True,gabriel,Gabriel,285,18.0,2.0,6.0,2.0,13.0,,,,,,,,,,,,,,,,
125,Ramiro Moschen Benetti,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,,31,Cruzeiro,0.0,78715,0.0,Ramiro,4,5,5.62,3.8,False,ramiro,Ramiro,283,9.0,4.0,,3.0,8.0,1.0,,,,,1.0,,,1.0,,,,,,,
126,Reinaldo Manoel da Silva,22,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,,31,Grêmio,-0.75,78850,3.8,Reinaldo,2,7,7.89,3.82,True,reinaldo,Reinaldo,284,15.0,8.0,24.0,8.0,26.0,8.0,,,4.0,,5.0,,3.0,2.0,,,2.0,1.0,,,
127,Thiago dos Santos,11,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,,31,Fluminense,0.0,78855,0.0,T. Santos,4,6,1.66,0.4,False,thiago-santos,Thiago Santos,266,8.0,,5.0,3.0,10.0,1.0,,,,,,,,,,,1.0,,,,
128,Víctor Leandro Cuesta,28,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,,31,Botafogo,-0.39,79113,0.8,V. Cuesta,3,3,9.88,4.57,True,victor-cuesta,Víctor Cuesta,263,33.0,8.0,17.0,9.0,24.0,3.0,,,14.0,,1.0,1.0,1.0,1.0,,,,,,,
129,Silvio Ezequiel Romero,17,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,,31,Fortaleza,0.0,79188,0.0,S. Romero,5,6,4.27,1.64,False,silvio-romero,Silvio Romero,356,1.0,4.0,4.0,2.0,8.0,2.0,,,,,1.0,1.0,6.0,2.0,,,,,,,
130,Filipe Augusto Carvalho Souza,18,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,,31,Cuiabá,0.12,79268,0.5,F. Augusto,4,7,1.61,0.63,True,filipe-augusto,Filipe Augusto,1371,14.0,,11.0,3.0,20.0,1.0,,,,,,,,,,,1.0,,,,
131,Ricardo César Dantas da Silva,14,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_NJ8k1e2.png,,31,América-MG,-0.03,79334,-0.6,R. Silva,3,7,2.01,1.83,True,ricardo-silva,Ricardo Silva,327,16.0,1.0,9.0,3.0,15.0,3.0,,,1.0,,,,,,,,,,,,
132,Germán Ezequiel Cano,26,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,,31,Fluminense,0.0,79631,0.0,Cano,5,6,13.22,4.29,False,cano,Cano,266,13.0,22.0,9.0,6.0,27.0,20.0,,,,,1.0,3.0,17.0,7.0,,,,,1.0,,
133,Lucas Silva Borges,17,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_YrS5yhK.png,,31,Cruzeiro,0.6,79701,2.5,L. Silva,4,7,5.09,3.1,True,lucas-silva,Lucas Silva,283,25.0,7.0,21.0,2.0,20.0,4.0,,,,,2.0,,1.0,,,,,,,,
134,Jesé Rodríguez Ruíz,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_qbyGGFl.png,,31,Coritiba,-0.2,79825,1.2,Jesé,5,6,5.2,0.3,True,jese,Jesé,294,,,,,,1.0,,,,,,,,,,,,,,,
135,Glaybson Yago Souza Lisboa,28,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,,31,Fortaleza,0.0,80196,1.4,Y. Pikachu,4,6,7.4,2.38,True,yago-pikachu,Yago Pikachu,356,10.0,9.0,21.0,3.0,8.0,8.0,,,,,1.0,,4.0,4.0,,,,,1.0,,
136,Luciano da Rocha Neves,26,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,,31,São Paulo,1.16,80287,8.5,Luciano,5,6,12.06,4.21,True,luciano,Luciano,276,11.0,18.0,38.0,5.0,21.0,12.0,,,,,2.0,2.0,5.0,6.0,,,,,1.0,,
137,Gilberto Moraes Júnior,13,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_2XeJymB.png,,31,Bahia,0.0,80313,0.0,Gilberto,2,3,10.07,5.46,False,gilberto,Gilberto,265,20.0,3.0,15.0,2.0,8.0,2.0,,,5.0,,1.0,1.0,,1.0,,,,2.0,,,
138,Marlon Santos da Silva Barbosa,13,https://s.sde.globo.com/media/person_role/2023/07/12/photo_FORMATO.png,,31,Fluminense,0.0,80538,0.0,Marlon,3,6,4.36,0.86,False,marlon,Marlon,266,7.0,2.0,1.0,5.0,15.0,1.0,,,2.0,,,,,,,,,1.0,,,
139,Lucas Rafael Araújo Lima,28,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,,31,Santos,-0.44,80583,-0.1,L. Lima,4,6,6.88,3.12,True,lucas-lima,Lucas Lima,277,37.0,9.0,39.0,3.0,39.0,3.0,,,,,4.0,1.0,7.0,1.0,,,1.0,,,,
140,Luan Garcia Teixeira,20,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,,31,Palmeiras,-1.0,80692,0.5,Luan,3,7,7.2,4.05,True,luan,Luan,275,13.0,7.0,14.0,4.0,25.0,4.0,,,9.0,,1.0,1.0,3.0,1.0,,,,1.0,,,
141,Pedro Tonon Geromel,7,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,,31,Grêmio,0.22,80853,2.0,P. Geromel,3,2,5.44,1.93,True,pedro-geromel,Pedro Geromel,284,8.0,1.0,2.0,2.0,3.0,,,,1.0,,,,,,,,,,,,
142,Jair Rodrigues Júnior,22,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,,31,Vasco,0.0,81091,0.0,Jair,4,2,7.59,2.98,False,jair,Jair,267,30.0,6.0,46.0,6.0,32.0,3.0,,,,,,,,2.0,,1.0,1.0,,,,
143,Lucas Andrés Mugni,10,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,,31,Bahia,0.0,81121,0.0,L. Mugni,4,6,2.67,0.79,False,lucas-mugni,Lucas Mugni,265,5.0,1.0,3.0,,5.0,1.0,,,,,,,,,,,,,,,
144,Mayke Rocha de Oliveira,27,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,,31,Palmeiras,-0.84,81150,0.1,Mayke,2,7,8.5,4.95,True,mayke,Mayke,275,42.0,2.0,14.0,5.0,30.0,1.0,,,11.0,,5.0,,3.0,1.0,,,,,,,
145,Hugo Mallo,6,https://s.sde.globo.com/media/person_role/2023/08/14/photo_FORMATO_q74YevE.png,,31,Internacional,0.0,81551,0.0,H. Mallo,2,5,5.06,2.23,False,hugo-mallo,Hugo Mallo,285,4.0,2.0,5.0,1.0,5.0,,,,2.0,,,,,,,,1.0,,,,
146,Juan Ramón Cazares Sevillano,9,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ag1llrV.png,,31,América-MG,-0.1,81682,0.0,Cazares,4,6,4.63,1.86,True,cazares,Cazares,327,5.0,3.0,3.0,,2.0,2.0,,,,,1.0,,,,,,,,,,
147,Rosicley Pereira da Silva,4,https://s.sde.globo.com/media/person_role/2023/08/09/photo_FORMATO_prVmVxp.png,,31,Vasco,0.0,81798,0.0,Rossi,5,6,5.91,8.02,False,rossi,Rossi,267,7.0,,5.0,,6.0,,,,,,3.0,,,1.0,,,,,,,
148,Alisson Euler de Freitas Castro,27,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,,31,São Paulo,1.09,81845,8.2,Alisson,4,6,6.79,2.96,True,alisson,Alisson,276,32.0,12.0,29.0,2.0,29.0,2.0,,,,,5.0,,2.0,,,1.0,,,,,
149,João Ricardo Riedi,23,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,,31,Fortaleza,-0.36,81881,-2.0,J. Ricardo,1,7,7.16,4.07,True,joao-ricardo,João Ricardo,356,,,9.0,3.0,,,70.0,27.0,7.0,,,,,,,,,,,2.0,
150,Willian Osmar de Oliveira Silva,25,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,,31,Goiás,-0.05,81952,0.6,W. Oliveira,4,7,3.13,1.93,True,willian-oliveira,Willian Oliveira,290,36.0,5.0,21.0,6.0,29.0,2.0,,,,,,1.0,,,,,,,,,
151,Raphael Gregório Guzzo,10,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_fajmeHY.png,,31,Goiás,0.0,81966,0.0,R. Guzzo,4,6,1.88,-0.17,False,raphael-guzzo,Raphael Guzzo,290,2.0,2.0,2.0,2.0,9.0,1.0,,,,,,,2.0,,,,1.0,,,,
152,Adilson dos Anjos Oliveira,28,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_C3jHgzm.png,,31,América-MG,-0.97,82381,3.9,Juninho,4,7,6.9,3.21,True,juninho,Juninho,327,32.0,9.0,27.0,4.0,25.0,6.0,,,,,2.0,,1.0,3.0,,1.0,,,,,
153,Tadeu Antônio Ferreira,28,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,,31,Goiás,0.45,82453,3.0,Tadeu,1,7,7.53,3.76,True,tadeu,Tadeu,290,,,9.0,1.0,,,95.0,38.0,8.0,,1.0,,,,,,,,,,
154,José Rafael Vivian,24,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,,31,Palmeiras,0.21,82455,2.8,Z. Rafael,4,7,10.37,4.42,True,ze-rafael,Zé Rafael,275,59.0,7.0,54.0,9.0,52.0,7.0,,,,,2.0,,1.0,1.0,,1.0,,,,,
155,Otávio Henrique Passos Santos,20,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,,31,Atlético-MG,-0.03,82463,2.6,Otávio,4,7,4.41,2.21,True,otavio,Otávio,282,45.0,3.0,11.0,8.0,36.0,1.0,,,,,,,,,,,,,,,
156,Luiz de Araújo Guimarães Neto,12,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO.png,,31,Flamengo,-0.68,82627,1.9,L. Araújo,5,2,5.39,2.39,True,luiz-araujo,Luiz Araújo,262,7.0,3.0,11.0,1.0,8.0,4.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,
157,Guilherme de Jesus da Silva,22,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_kUpus9a.png,,31,Fortaleza,-0.06,82628,1.7,Tinga,2,7,8.91,4.21,True,tinga,Tinga,356,34.0,5.0,6.0,,12.0,5.0,,,7.0,,,,3.0,1.0,,,,,,,
158,Marcelo Rangel da Rosa,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,,31,Goiás,0.0,82730,0.0,M. Rangel,1,6,2.34,0.0,False,marcelo-rangel,Marcelo Rangel,290,,,,,,,8.0,8.0,,,,,,,,,,,,,
159,Wellington Soares da Silva,26,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,,31,São Paulo,-0.05,82766,3.7,W. Rato,4,6,5.76,1.84,True,wellington-rato,Wellington Rato,276,19.0,13.0,13.0,5.0,17.0,5.0,,,,,3.0,1.0,8.0,,,,,1.0,1.0,,
160,Gabriel Barbosa Almeida,23,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,,31,Flamengo,-0.31,83257,-1.3,Gabriel,5,6,11.25,3.31,True,gabriel,Gabriel,262,5.0,18.0,14.0,7.0,11.0,13.0,,,,,1.0,2.0,7.0,5.0,,,1.0,,1.0,,
161,Julio César Furch,14,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_fMrOLLy.png,,31,Santos,0.03,83276,0.5,J. Furch,5,6,4.31,1.43,True,julio-furch,Julio Furch,277,1.0,3.0,6.0,2.0,5.0,5.0,,,,,,1.0,1.0,1.0,,,,,,,
162,Patrick Bezerra do Nascimento,20,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,,31,Atlético-MG,0.0,83433,0.0,Patrick,4,6,5.4,1.71,False,patrick,Patrick,282,23.0,3.0,12.0,1.0,9.0,1.0,,,,,,,1.0,,,1.0,,,,,
