,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
388,ferraresi,14.2,276,3,Ferraresi,Nahuel Adolfo Ferraresi Hernández,4.23,1.24,105300,7,SAO,8.58,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Ferraresi,25.0,11.0,,1.0,5.0,1.0,2.0,2.0,,,,,,,,,,,,1.0
389,lucas-lima,2.3,354,4,L. Lima,Lucas Eduardo Lima da Silva,0.7,0.22,105337,6,CEA,3.02,4,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Lucas Lima,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
390,gabriel-xavier,0.0,265,3,G. Xavier,Gabriel Lheman Xavier - Lhman,1.53,0.0,105373,6,BAH,5.47,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Gabriel Xavier,1.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,
391,matheus-bidu,6.8,264,2,M. Bidu,Matheus Lima Beltrão Oliveira Valin,7.8,-0.66,105531,7,COR,11.11,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Matheus Bidu,16.0,5.0,1.0,4.0,21.0,,4.0,1.0,1.0,,,,,1.0,,,,,,
392,lucero,-0.2,356,5,Lucero,Juan Martín Lucero,3.13,-0.12,105568,6,FOR,7.75,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucero,7.0,15.0,4.0,3.0,6.0,5.0,,3.0,1.0,1.0,3.0,,,,,,,,1.0,
393,lucas-piton,3.7,267,2,L. Piton,Lucas Piton Crivellaro,3.74,0.47,105584,6,VAS,7.56,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Lucas Piton,15.0,20.0,,3.0,6.0,1.0,2.0,2.0,3.0,,,,,,,,,,,
394,roni,0.0,2305,4,Roni,Roni Medeiros de Moura,0.13,0.0,105585,6,MIR,1.91,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Roni,1.0,,,,,,,1.0,,,,,,,,,,,,
395,mauricio,12.1,275,4,Maurício,Maurício Magalhães Prado,3.33,1.83,105647,6,PAL,9.91,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Maurício,5.0,6.0,2.0,5.0,4.0,2.0,,,,,2.0,,,,,,,,,
396,talles-magno,0.0,264,5,T. Magno,Talles Magno Bacelar Martins,3.05,-1.36,105786,6,COR,5.95,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Talles Magno,7.0,12.0,2.0,7.0,15.0,8.0,,1.0,1.0,1.0,1.0,,,,,,,,,
397,wesley,1.7,285,5,Wesley,Wesley Ribeiro Silva,5.21,-0.26,105811,7,INT,11.45,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Wesley,19.0,14.0,6.0,8.0,26.0,4.0,,1.0,2.0,1.0,,,,,,,,,,
398,edu,5.0,287,3,Edu,Lucas Eduardo Ribeiro de Souza,4.57,0.23,105842,7,VIT,5.46,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Edu,9.0,5.0,1.0,3.0,2.0,,4.0,,,,,,,,,,,,,
399,matheus-araujo,0.7,354,4,M. Araújo,Matheus de Araújo Andrade,2.53,-0.16,105845,6,CEA,5.33,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Matheus Araújo,1.0,1.0,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,,
400,allanzinho,0.0,356,5,Allanzinho,Allan Victor Oliveira Mota,2.07,0.0,105900,6,FOR,3.9,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Allanzinho,1.0,4.0,,2.0,5.0,1.0,,1.0,1.0,,,,,,,,,,,
401,jose-aldo,-0.6,2305,4,J. Aldo,José Aldo Soares de Oliveira Filho,2.19,-0.48,105903,6,MIR,3.29,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,José Aldo,14.0,10.0,1.0,5.0,6.0,1.0,,2.0,,,,,,,,,,,,
402,rochet,8.9,285,1,Rochet,Sergio Ramón Rochet Álvarez,7.4,0.49,105949,7,INT,12.05,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Rochet,,,,,1.0,,2.0,,,,,,,,9.0,,,,,
403,santiago-mingo,1.7,265,3,S. Mingo,Santiago Martín Ramos Mingo,2.64,-0.08,105990,6,BAH,4.52,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Santiago Mingo,12.0,17.0,,4.0,8.0,2.0,4.0,3.0,,,,,,,,,,,,
404,ewerthon,0.0,286,2,Ewerthon,Ewerthon Diógenes da Silva,3.64,0.0,106082,6,JUV,6.24,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Ewerthon,20.0,7.0,2.0,4.0,7.0,,1.0,2.0,,,,,,,,,,,,
405,lucao,0.0,280,1,Lucão,Lucas Alexandre Galdino de Azevedo,7.6,0.0,106160,6,RBB,7.09,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Lucão,,,,,1.0,,1.0,1.0,,,,,,,9.0,1.0,,,,
406,bruno-gomes,0.0,285,2,B. Gomes,Bruno Gomes da Silva Clevelário,0.0,0.0,106202,5,INT,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Gomes,,,,,,,,,,,,,,,,,,,,
407,marcos-antonio,0.8,276,4,M. Antônio,Marcos Antônio Silva Santos,1.47,-0.32,106294,7,SAO,3.52,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Marcos Antônio,10.0,12.0,1.0,2.0,10.0,,,3.0,,,,,,,,,,,,
408,caio-alexandre,2.7,265,4,C. Alexandre,Caio Alexandre Souza e Silva,2.53,0.17,106323,6,BAH,5.46,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Caio Alexandre,17.0,23.0,,4.0,15.0,,,4.0,1.0,,,,,,,,,,,
409,eduardo-santos,2.0,280,3,E. Santos,Eduardo Gonzaga Mendes Santos,5.42,-0.14,106434,6,RBB,8.13,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eduardo Santos,8.0,,,,1.0,,4.0,,,,,,,,,,,,,
410,villalba,4.7,283,3,Villalba,Lucas Hernán Villalba,6.89,-0.18,106593,7,CRU,8.63,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Villalba,17.0,8.0,1.0,3.0,4.0,,8.0,3.0,,3.0,1.0,,,,,,,,,
411,leo-pereira,0.0,287,5,L. Pereira,Leonardo Augusto dos Santos Pereira,1.68,0.0,106681,6,VIT,3.43,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Léo Pereira,4.0,5.0,1.0,,9.0,1.0,,,,,,,,,,,,,,
412,rodrigo-nestor,8.0,265,4,R. Nestor,Rodrigo Nestor Bertalia,4.1,0.87,106822,6,BAH,7.35,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rodrigo Nestor,9.0,4.0,1.0,2.0,3.0,,,,,,1.0,,,,,,,,,
413,patryck,0.0,276,2,Patryck,Patryck Lanza dos Reis,0.0,0.0,106829,6,SAO,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Patryck,,,,,,,,,,,,,,,,,,,,
414,paulo-baya,0.0,266,5,P. Baya,Paulo Henrique Silva Ribeiro,3.55,0.0,106918,6,FLU,5.35,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Paulo Baya,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
415,luciano-juba,1.6,265,2,L. Juba,Luciano Batista da Silva Júnior,6.09,-1.15,107093,6,BAH,9.09,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Luciano Juba,14.0,10.0,2.0,7.0,3.0,1.0,4.0,1.0,3.0,,3.0,,,,,,,,,
416,richard-rios,0.0,275,4,R. Ríos,Richard Ríos Montoya,5.01,0.0,107111,6,PAL,9.94,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Richard Ríos,20.0,23.0,2.0,9.0,23.0,1.0,,4.0,2.0,,,,,,,,,,,
417,jeffinho,0.0,263,5,Jeffinho,Jefferson Ruan Pereira dos Santos,2.33,0.0,107170,5,BOT,4.33,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Jeffinho,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
418,patrick-de-paula,0.0,263,4,P. Paula,Patrick de Paula Carreiro,1.63,0.0,107172,6,BOT,3.97,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Patrick de Paula,3.0,4.0,,5.0,5.0,,,,,,,,,,,,,,,
419,michel-araujo,-0.3,265,4,M. Araújo,Michel Daryl Araújo Villar,4.0,-1.17,107173,6,BAH,6.26,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Michel Araújo,4.0,6.0,,1.0,,,,1.0,,,3.0,,,,,,,,,
420,bruno-tabata,1.5,285,4,B. Tabata,Bruno Vinícius Souza Ramos,3.65,-0.86,107174,6,INT,5.93,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Tabata,11.0,5.0,6.0,3.0,13.0,,,2.0,,1.0,1.0,,,,,,,,,
421,matheus-donelli,0.0,264,1,M. Donelli,Matheus Planelles Donelli,3.08,0.0,107179,6,COR,4.42,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Matheus Donelli,,,,,1.0,,1.0,1.0,,,,,,,13.0,6.0,,,,
422,leo-linck,0.0,263,1,L. Linck,Leonardo Matias Baiersdorf Linck,0.0,0.0,107183,6,BOT,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Léo Linck,,,,,,,,,,,,,,,,,,,,
423,magrao,2.9,356,1,Magrão,Audenirton Soares da Silva,2.9,0.95,107221,6,FOR,2.95,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Magrão,,,,,,,,,,,,,,,3.0,1.0,,,,
424,danilo,0.0,263,4,Danilo,Danilo dos Santos de Oliveira,0.0,0.0,107231,6,BOT,12.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Danilo,,,,,,,,,,,,,,,,,,,,
425,vanderlan,0.0,275,2,Vanderlan,Vanderlan Barbosa da Silva,1.2,0.0,107236,6,PAL,3.77,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Vanderlan,1.0,1.0,,,,,,,,,,,,,,,,,,
426,enio,0.0,286,5,Ênio,Sebastião Ênio Santos de Almeida,3.02,0.0,107516,6,JUV,4.62,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Ênio,4.0,4.0,3.0,3.0,15.0,2.0,,2.0,,,1.0,,,,,,,,,
427,natanael,0.0,282,2,Natanael,Natanael Moreira Milouski,5.82,-0.42,107554,6,CAM,8.13,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Natanael,29.0,16.0,3.0,3.0,6.0,2.0,7.0,1.0,,,,,,,,,,,,
428,adriano,0.0,292,1,Adriano,Antônio Adriano Nascimento de Sousa,0.0,0.0,107698,6,SPT,1.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Adriano,,,,,,,,,,,,,,,,,,,,
429,chrystian-barletta,4.0,292,5,C. Barletta,Chrystian Amaral Barletta de Almeida,4.76,-0.08,107726,7,SPT,6.76,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Chrystian Barletta,7.0,8.0,13.0,11.0,15.0,3.0,,,,2.0,2.0,,,,,,,,,
430,praxedes,2.3,280,4,Praxedes,Bruno Conceição Praxedes,2.3,0.45,107744,6,RBB,5.45,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Praxedes,,2.0,,3.0,3.0,,,1.0,,,,,,,,,,,,
431,adriel,0.0,284,1,Adriel,Adriel Vasconcelos Ramos,0.0,0.0,107748,6,GRE,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Adriel,,,,,,,,,,,,,,,,,,,,
432,elias-manoel,0.0,263,5,E. Manoel,Elias Manoel Alves de Paula,0.6,0.0,107795,6,BOT,5.13,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Elias Manoel,1.0,1.0,,,,,,,,,,,,,,,,,,
433,diego-rosa,1.5,285,4,D. Rosa,Diego Gabriel Silva Rosa,1.35,-0.24,107796,6,INT,2.97,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Diego Rosa,5.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,
434,nata,0.0,286,3,Natã,Natã Felipe de Amorim Santos,1.5,0.0,107801,6,JUV,2.29,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Natã,1.0,,,,,,,,,,,,,,,,,,,
435,fintelman,0.0,287,1,Fintelman,Alexandre Fintelman de Mello Ribeiro da Silva,0.0,0.0,107859,6,VIT,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Fintelman,,,,,,,,,,,,,,,,,,,,
436,bobadilla,5.7,276,4,Bobadilla,Damián Josué Bobadilla Benítez,2.39,-0.1,107873,7,SAO,5.11,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Bobadilla,15.0,11.0,2.0,1.0,5.0,,,1.0,,,,,,,,,,,,
437,hugo,0.0,264,2,Hugo,Hugo Ferreira de Farias,2.23,0.0,107908,5,COR,5.41,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Hugo,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
438,fausto-vera,0.0,282,4,F. Vera,Fausto Mariano Vera,3.23,0.0,107950,6,CAM,6.75,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Fausto Vera,9.0,6.0,,3.0,3.0,,,1.0,,,1.0,,,,,,,,,
439,carbonero,-1.1,285,5,Carbonero,Johan Stiven Carbonero Balanta,1.32,-0.91,107989,7,INT,3.67,5,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Carbonero,1.0,8.0,,3.0,13.0,4.0,,1.0,,,,,,,,,,,,
440,isidro-pitta,3.4,280,5,I. Pitta,Isidro Miguel Pitta Saldívar,3.56,0.44,108133,6,RBB,7.11,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Isidro Pitta,1.0,9.0,3.0,4.0,7.0,4.0,,3.0,1.0,,4.0,,,,,,,,,
441,gabriel-lacerda,0.0,354,3,G. Lacerda,Gabriel Santos Cordeiro Lacerda,0.0,0.0,108176,6,CEA,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Gabriel Lacerda,,,,,,,,,,,,,,,,,,,,
442,david-ricardo,0.0,263,3,D. Ricardo,David Ricardo Loiola da Silva,2.8,0.0,108274,6,BOT,4.21,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,David Ricardo,2.0,6.0,,1.0,,,3.0,,,,,1.0,,,,,,,,
443,aravena,0.0,284,5,Aravena,Alexander Ernesto Aravena Guzmán,2.16,0.0,108548,6,GRE,3.47,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Aravena,2.0,2.0,,1.0,4.0,1.0,,1.0,,1.0,1.0,,,,,,,,,
444,tapia,0.3,276,5,Tapia,Gonzalo Andrés Tapia Dubournais,0.3,-0.42,108588,6,SAO,5.58,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Tapia,,1.0,,2.0,,,,1.0,,,,,,,,,,,,
445,garre,0.0,267,5,Garré,Benjamín Antonio Garré,0.0,0.0,108671,6,VAS,1.88,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Garré,1.0,5.0,,,2.0,,,1.0,,,,,,,,,,,,
446,emiliano-martinez,0.5,275,4,E. Martínez,Emiliano Martínez Toranza,4.27,-0.47,108683,6,PAL,5.71,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Emiliano Martínez,24.0,12.0,2.0,2.0,7.0,,,1.0,,,1.0,,,,,,,,,
447,galeano,6.4,354,5,Galeano,Antonio Javier Galeano Ferreira,4.44,0.79,108713,7,CEA,5.89,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Galeano,12.0,6.0,4.0,4.0,23.0,4.0,,1.0,,1.0,2.0,,,,,,,,,
448,plata,0.0,262,5,Plata,Gonzalo Jordy Plata Jiménez,3.41,0.0,109096,2,FLA,6.37,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Plata,9.0,6.0,2.0,4.0,4.0,,,,,,1.0,,,,,,,,,
449,erick-pulga,4.3,265,5,E. Pulga,Erick da Costa Farias,6.93,0.09,109401,6,BAH,9.64,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Erick Pulga,24.0,10.0,5.0,18.0,30.0,3.0,,2.0,3.0,,2.0,,,,,,,,,
450,weverson,0.0,356,2,Weverson,Weverson Moreira da Costa,0.0,0.0,109426,6,FOR,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Weverson,,,,,,,,,,,,,,,,,,,,
451,calebe,0.0,356,4,Calebe,Calebe Gonçalves Ferreira da Silva,2.27,0.0,109461,6,FOR,4.48,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Calebe,3.0,2.0,1.0,3.0,5.0,1.0,,2.0,,,1.0,,,,,,,,,
452,martinelli,1.5,266,4,Martinelli,Matheus Martinelli Lima,3.24,0.18,109573,7,FLU,6.84,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Martinelli,13.0,14.0,2.0,2.0,16.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
453,batalla,0.5,286,5,Batalla,Emerson Geovanny Batalla Martínez - Enmerson,4.54,-0.28,109899,7,JUV,6.48,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Batalla,11.0,10.0,5.0,4.0,19.0,1.0,,2.0,1.0,,3.0,,,,,,,,,
454,monsalve,0.0,284,4,Monsalve,Miguel Ángel Monsalve Gonzáles - González,1.41,0.0,109966,5,GRE,3.55,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Monsalve,3.0,9.0,1.0,1.0,9.0,,,2.0,1.0,,,,,,,,,,,
455,joao-neto,0.0,280,4,J. Neto,João Roberto Rota Neto,0.0,0.0,110062,6,RBB,1.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,João Neto,,,,,,,,,,,,,,,,,,,,
456,palacios,0.0,264,2,Palacios,Diego José Palacios Espinoza,0.0,0.0,110260,6,COR,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Palacios,,,,,,,,,,,,,,,,,,,,
457,jose-martinez,1.5,264,4,J. Martínez,José Andrés Martínez Torres,2.68,-0.73,110311,7,COR,4.16,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,José Martínez,13.0,9.0,2.0,3.0,18.0,1.0,,5.0,1.0,,,,1.0,,,,,,,
458,bernabei,7.5,285,2,Bernabéi,Alexandro Ezequiel Bernabéi,6.5,0.58,110426,7,INT,14.28,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bernabéi,22.0,17.0,2.0,6.0,9.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
459,abel-ferreira,7.28,275,6,A. Ferreira,Abel Fernando Moreira Ferreira,6.34,0.33,110506,7,PAL,12.47,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Abel Ferreira,,,,,,,,,,,,,,,,,,8.0,,
460,aguirre,12.5,285,2,Aguirre,Braian Aguirre Nahuel,5.84,0.87,110510,7,INT,9.39,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Aguirre,31.0,12.0,,4.0,2.0,2.0,4.0,2.0,,1.0,1.0,,,,,,,,,
461,luiz-filipe,0.0,2305,5,L. Filipe,Luiz Filipe dos Reis Silva,-0.6,0.0,110632,6,MIR,2.24,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Luiz Filipe,,2.0,,,,,,,,,,,,,,,,,,
462,andres-hurtado,0.0,280,2,A. Hurtado,José Andrés Hurtado Cheme,5.26,-1.72,110715,7,RBB,7.1,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Andrés Hurtado,23.0,18.0,1.0,4.0,4.0,,6.0,2.0,,,1.0,1.0,,,,,,,,
463,rubens,0.0,282,4,Rubens,Rubens Antônio Dias,6.26,0.0,110727,6,CAM,8.96,13,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Rubens,42.0,18.0,4.0,10.0,10.0,,,2.0,,,1.0,,,,,,,,,
464,gustavo-marques,0.0,280,3,G. Marques,Gustavo Marques Alves dos Santos,0.0,0.0,110750,6,RBB,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Gustavo Marques,,,,,,,,,,,,,,,,,,,,
465,john-kennedy,-0.1,266,5,J. Kennedy,John Kennedy Batista de Souza,-0.1,-0.85,110759,2,FLU,8.15,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,John Kennedy,,,,,,1.0,,,,,,,,,,,,,,
