,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
233,B. Lopes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,Breno Lopes,,Breno Henrique Vasconcelos Lopes,93988,5,True,7,5.0,3.98,356,7.19,12,FOR,breno-lopes,0.52,,2.0,3.0,3.0,5.0,13.0,,,,,1.0,3.0,,,,,,,,
234,John,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,10,John,,John Victor Maciel Furtado,94044,1,False,7,0.0,6.42,263,12.12,12,BOT,john,0.0,2.0,1.0,1.0,,,2.0,6.0,30.0,,5.0,,,,,,,,,,
235,M. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,8,Matheus Fernandes,,Matheus Fernandes Siqueira,94067,4,True,6,2.3,2.27,280,4.9,12,RBB,matheus-fernandes,0.07,1.0,13.0,7.0,,1.0,2.0,,,,,,,,,,,,,,
236,Maycon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,10,Maycon,,Maycon de Andrade Barberan,94154,4,True,6,1.5,1.28,264,3.56,12,COR,maycon,0.16,,8.0,3.0,,1.0,2.0,,,,,,,,,,,,,,
237,D. Pituca,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,8,Diego Pituca,,Diego Cristiano Evaristo,94156,4,True,6,-0.9,1.32,277,3.83,12,SAN,diego-pituca,-0.47,2.0,1.0,5.0,,2.0,6.0,,,,,1.0,,,,,,,,,
238,Guilherme,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,9,Guilherme,,Guilherme Augusto Vieira dos Santos,94207,5,True,7,11.2,7.51,277,10.55,12,SAN,guilherme,0.99,,19.0,5.0,5.0,11.0,20.0,,,,,2.0,2.0,,,,,,,,
239,M. Babi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,Matheus Babi,,Matheus Barcelos da Silva,94444,5,False,6,0.0,2.4,286,4.23,12,JUV,matheus-babi,0.0,,2.0,2.0,,1.0,2.0,,,,,1.0,2.0,,,,,,,,
240,R. Veiga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,5,Raphael Veiga,,Raphael Cavalcante Veiga,94509,4,False,7,0.0,2.36,275,12.58,12,PAL,raphael-veiga,0.0,,3.0,3.0,2.0,1.0,8.0,,,,,,,,,,1.0,,,,
241,L. Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,Lucas Oliveira,,Lucas da Cruz Oliveira,94514,3,False,6,0.0,0.0,267,4.0,12,VAS,lucas-oliveira,0.0,,,,,,,,,,,,,,,,,,,,
242,Pedro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,8,Pedro,,Pedro Guilherme Abreu dos Santos,94583,5,False,7,0.0,7.17,262,17.65,12,FLA,pedro,0.0,,2.0,1.0,7.0,1.0,7.0,,,,,4.0,1.0,,2.0,1.0,1.0,,,1.0,
243,J. Capixaba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,11,Juninho Capixaba,,Luis Antônio da Rocha Júnior,94968,2,False,5,0.0,8.67,280,12.05,12,RBB,juninho-capixaba,0.0,1.0,27.0,13.0,4.0,7.0,23.0,6.0,,,,1.0,1.0,,,,,,,,
244,Nicolas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4,Nicolas,,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,95127,2,False,7,0.0,3.67,354,5.6,12,CEA,nicolas,0.0,,3.0,2.0,,1.0,,2.0,,,,,,,,,,,,,
245,G. Taliari,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,9,Gabriel Taliari,,Gabriel Pereira Taliari,95131,5,False,7,0.0,4.73,286,8.22,12,JUV,gabriel-taliari,0.0,,5.0,13.0,4.0,5.0,13.0,,,,,2.0,3.0,,1.0,1.0,,,,,
246,Giraldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,Giraldo,,Daniel Eduardo Giraldo Cárdenas,95354,4,False,6,0.0,0.54,286,2.09,12,JUV,giraldo,0.0,2.0,4.0,11.0,,2.0,3.0,,,,,,,,,,,,,,
247,Rivera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,9,Rivera,,Christian Hernando Rivera Cuéllar,95357,4,False,6,0.0,2.78,292,4.32,12,SPT,rivera,0.0,4.0,20.0,20.0,,,10.0,,,,,,,,,,,,,,
248,Gregore,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,9,Gregore,,Gregore de Magalhães da Silva,95464,4,False,7,0.0,3.29,263,6.68,12,BOT,gregore,0.0,3.0,25.0,39.0,1.0,2.0,8.0,,,,,,,,,,,,,,
249,I. Vinícius,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,Igor Vinícius,,Igor Vinícius de Souza,95466,2,False,5,0.0,3.9,276,7.88,12,SAO,igor-vinicius,0.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,
250,Raniele,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,10,Raniele,,Raniele Almeida Melo,95556,4,False,7,0.0,2.83,264,5.56,12,COR,raniele,0.0,2.0,15.0,10.0,1.0,2.0,16.0,,,,,,,,,,,,,,
251,Artur,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,9,Artur,,Artur Victor Guimarães,95799,5,False,7,0.0,5.72,263,10.39,12,BOT,artur,0.0,1.0,5.0,7.0,3.0,5.0,11.0,,,,,2.0,1.0,,3.0,1.0,,,,,
252,D. Fuzato,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,Daniel Fuzato,,Daniel Cerântula Fuzato,95936,1,False,6,0.0,0.0,267,3.0,12,VAS,daniel-fuzato,0.0,,,,,,,,,,,,,,,,,,,,
253,Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8,Lima,,Vinícius Moreira de Lima,96340,4,False,6,0.0,2.17,266,4.94,12,FLU,lima,0.0,1.0,1.0,6.0,2.0,4.0,10.0,,,,,1.0,,,,,,,,,
254,Charles,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,4,Charles,,Charles Rigon Mattos,96342,4,True,6,-0.3,-0.02,264,2.96,12,COR,charles,-0.57,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
255,J. Correa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,Joaquín Correa,,Carlos Joaquín Correa,96353,5,False,6,0.0,0.0,263,14.0,12,BOT,joaquin-correa,0.0,,,,,,,,,,,,,,,,,,,,
256,M. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,10,Matheus Pereira,,Matheus Fellipe Costa Pereira,96610,4,True,7,3.2,7.71,283,14.62,12,CRU,matheus-pereira,-0.45,4.0,21.0,14.0,8.0,8.0,34.0,,,,,2.0,2.0,,1.0,,,,,,
257,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,Allan,,Allan Rodrigues de Souza,96652,4,False,6,0.0,-0.24,262,1.72,12,FLA,allan,0.0,,,4.0,,,,,,,,,,,,,,,,,
258,Saravia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,Saravia,,Renzo Saravia,96725,2,True,6,6.5,4.17,282,6.86,12,CAM,saravia,0.4,,3.0,7.0,,2.0,2.0,4.0,,,,,,,,,,,,,
259,Carlinhos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,Carlinhos,,Carlos Moisés de Lima,96831,5,True,6,-0.9,1.93,287,4.57,12,VIT,carlinhos,-0.72,2.0,,8.0,,3.0,,,,,,1.0,2.0,,,,,,,,
260,Villasanti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,10,Villasanti,,Mathías Adalberto Villasanti Rolón,97145,4,True,7,4.7,4.96,284,10.57,12,GRE,villasanti,-1.0,5.0,37.0,21.0,,3.0,6.0,,,,,,,,,,,,,,
261,Dalbert,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5,Dalbert,,Dalbert Henrique Chagas Estevão,97173,2,False,6,0.0,-0.32,292,1.26,12,SPT,dalbert,0.0,2.0,1.0,8.0,,1.0,1.0,,,,,,,,,,,,,,
262,Alesson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Alesson,,Alesson dos Santos Batista,97321,5,False,6,0.0,0.0,2305,5.0,12,MIR,alesson,0.0,,,,,,,,,,,,,,,,,,,,
263,R. Ceni,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,12,Rogério Ceni,,Rogério Mücke Ceni,97341,6,True,7,8.65,5.44,265,9.35,12,BAH,rogerio-ceni,0.51,,,,,,,,,,,,,6.0,,,,,,,
264,G. Mosquito,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,10,Gustavo Mosquito,,Gustavo Henric da Silva,97450,5,True,6,2.9,2.33,287,4.81,12,VIT,gustavo-mosquito,0.35,,3.0,10.0,4.0,3.0,4.0,,,,,,3.0,,2.0,1.0,,,,,
265,J. Victor,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11,João Victor,,João Victor Carroll Santana,97460,3,False,7,0.0,2.03,2305,3.02,12,MIR,joao-victor,0.0,2.0,7.0,9.0,1.0,3.0,6.0,2.0,,,,,1.0,,,,,,,,
266,Marçal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,Marçal,,Fernando Marçal de Oliveira,97468,2,False,6,0.0,4.6,263,6.8,12,BOT,marcal,0.0,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,
267,F. Torres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,Félix Torres,,Félix Eduardo Torres Caicedo,97642,3,False,7,0.0,4.63,264,7.59,12,COR,felix-torres,0.0,1.0,10.0,11.0,,2.0,1.0,3.0,,,,,,,,,,,,,
268,T. Couto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Thiago Couto,,Thiago Couto Wenceslau,97645,1,False,6,0.0,0.0,292,3.0,12,SPT,thiago-couto,0.0,,,,,,,,,,,,,,,,,,,,
269,Murilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4,Murilo,,Murilo Cerqueira Paim,97653,3,False,7,0.0,2.82,275,7.72,12,PAL,murilo,0.0,3.0,2.0,8.0,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,
270,Erick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,9,Erick,,Erick de Arruda Serafim,97810,5,False,6,0.0,3.47,287,5.82,12,VIT,erick,0.0,1.0,3.0,6.0,4.0,6.0,20.0,,,,,,,,2.0,,,,,,
271,L. Ortiz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10,Léo Ortiz,,Leonardo Rech Ortiz,97867,3,False,7,0.0,5.77,262,8.22,12,FLA,leo-ortiz,0.0,1.0,9.0,8.0,1.0,3.0,2.0,7.0,,,,,,,1.0,1.0,,,,,
272,Iago,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5,Iago,,Iago Amaral Borduchi,97868,2,False,6,0.0,2.66,265,4.39,12,BAH,iago,0.0,,4.0,2.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,
273,M. Bahia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,Matheus Bahia,,Matheus Bahia Santos,97899,2,False,6,0.0,8.78,354,10.16,12,CEA,matheus-bahia,0.0,1.0,16.0,5.0,2.0,1.0,6.0,4.0,,,,,,,1.0,,,,,,
274,Vitão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,10,Vitão,,Vitor Eduardo da Silva Matos,97900,3,True,7,-2.5,2.76,285,6.7,12,INT,vitao,-0.98,2.0,12.0,7.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,1.0
275,Erick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,8,Erick,,Erick Luis Conrado de Carvalho,98022,4,False,5,0.0,3.53,265,8.32,12,BAH,erick,0.0,3.0,14.0,12.0,,2.0,3.0,,,,,1.0,2.0,,,1.0,,,,,
276,P. Raul,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,9,Pedro Raul,,Pedro Raul Garay da Silva,98225,5,False,7,0.0,3.78,354,7.94,12,CEA,pedro-raul,0.0,2.0,3.0,19.0,4.0,10.0,13.0,,,,,2.0,11.0,,,1.0,,,,,
277,Bastos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,Bastos,,Bartolomeu Jacinto Quissanga,98280,3,False,5,0.0,0.0,263,11.0,12,BOT,bastos,0.0,,,,,,,,,,,,,,,,,,,,
278,V. Soares,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0,Val Soares,,Valdemir de Oliveira Soares,98306,4,False,5,0.0,0.0,287,3.0,12,VIT,val-soares,0.0,,,,,,,,,,,,,,,,,,,,
279,Negueba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,Negueba,,Luiz Henrique Soares Firmino,98384,5,False,7,0.0,1.84,2305,2.89,12,MIR,negueba,0.0,2.0,4.0,6.0,1.0,4.0,13.0,,,,,,2.0,,,,,,,,
280,Kanu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2,Kanu,,Victor Hugo Soares dos Santos,98484,3,False,5,0.0,2.85,265,4.58,12,BAH,kanu,0.0,,4.0,1.0,,,,,,,,,,,,,,,,,
281,J. Lucas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10,Jean Lucas,,Jean Lucas de Souza Oliveira,98517,4,True,7,3.8,2.53,265,5.39,12,BAH,jean-lucas,-0.45,1.0,13.0,7.0,1.0,6.0,8.0,,,,,,1.0,,,1.0,,1.0,1.0,,
282,D. Placido,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Di Placido,,Leonel Di Placido,98605,2,False,6,0.0,0.0,292,4.0,12,SPT,di-placido,0.0,,,,,,,,,,,,,,,,,,,,
283,Kuscevic,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,10,Kuscevic,,Benjamín Kuščević Jaramillo,98619,3,False,6,0.0,3.5,356,6.16,12,FOR,kuscevic,0.0,,11.0,11.0,,1.0,2.0,4.0,,,,,,,,,,,,,
284,Savarino,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,Savarino,,Jefferson David Savarino Quintero,98672,4,False,7,0.0,5.65,263,10.64,12,BOT,savarino,0.0,1.0,4.0,3.0,5.0,8.0,4.0,,,,,2.0,,,1.0,,,,,,
285,Angileri,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,Angileri,,Fabrizio Germán Angileri - Fabricio,98720,2,True,6,5.7,2.85,264,5.18,12,COR,angileri,0.17,1.0,10.0,7.0,,2.0,3.0,1.0,,,,,,,,,,,,,
286,T. Ortíz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,Titi Ortíz,,Christian Jonatan Ortíz - Cristian,98738,4,False,6,0.0,1.98,292,5.22,12,SPT,titi-ortiz,0.0,,3.0,4.0,3.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,
287,Cuello,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,8,Cuello,,Tomás Esteban Cuello,98909,5,False,5,0.0,3.93,282,7.74,12,CAM,cuello,0.0,3.0,5.0,10.0,6.0,9.0,15.0,,,,,1.0,,,,,,,,,
288,Viña,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1,Viña,,Matías Nicolás Viña Susperreguy,98974,2,False,6,0.0,4.7,262,8.99,12,FLA,vina,0.0,,,1.0,,,,1.0,,,,,,,,,,,,,
289,Rogel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5,Rogel,,Agustín Maximiliano Rogel Paita,98975,3,False,6,0.0,3.18,285,5.65,12,INT,rogel,0.0,,5.0,7.0,,,1.0,2.0,,,,,,,,,,,,,
290,Lourenço,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,Lourenço,,João Paulo Ferreira Lourenço,99032,4,False,6,0.0,1.56,354,3.75,12,CEA,lourenco,0.0,,6.0,8.0,1.0,2.0,3.0,,,,,,,,,,,,,,
291,L. Braga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,Lucas Braga,,Lucas Braga Ribeiro,99119,5,True,7,2.7,2.23,287,5.44,12,VIT,lucas-braga,0.25,1.0,3.0,5.0,,2.0,4.0,,,,,1.0,2.0,,,,,,,,
292,Vegetti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,10,Vegetti,,Pablo Vegetti,99198,5,True,7,8.7,7.63,267,16.0,12,VAS,vegetti,0.47,1.0,3.0,16.0,2.0,13.0,8.0,,,,,7.0,2.0,,1.0,1.0,,,,,1.0
293,P. Rodríguez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5,Puma Rodríguez,,José Luis Rodríguez Bebanz,99213,2,True,6,0.0,1.08,267,3.54,12,VAS,puma-rodriguez,-0.62,,3.0,4.0,,2.0,1.0,,,,,,,,,,,,,,
294,D. Cruz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7,De la Cruz,,Diego Nicolás de la Cruz Arcosa,99228,4,False,6,0.0,2.77,262,8.85,12,FLA,de-la-cruz,0.0,3.0,9.0,10.0,2.0,,19.0,,,,,,,,,,,,,,
295,Chico,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,11,Chico,,Francisco Alves da Silva Neto - Melo,99253,3,False,7,0.0,3.23,292,5.44,12,SPT,chico,0.0,1.0,15.0,5.0,,5.0,5.0,2.0,,,,,,,,,,,1.0,,
296,Pochettino,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,Pochettino,,Tomás Pochettino,99267,4,True,7,4.6,7.68,356,12.62,12,FOR,pochettino,-0.51,,13.0,1.0,6.0,6.0,4.0,,,,,1.0,1.0,,1.0,,,,,,
297,A. Barboza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5,Alexander Barboza,,Alexander Nahuel Barboza Ullúa,99274,3,False,7,0.0,6.08,263,10.64,12,BOT,alexander-barboza,0.0,3.0,13.0,9.0,,2.0,,3.0,,,,,,,,,,,,,
298,Dinenno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,2,Dinenno,,Juan Ignacio Dinenno de Cara,99316,5,True,6,-1.3,-0.4,276,5.33,12,SAO,dinenno,-1.12,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
299,L. Zubeldía,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,11,Luis Zubeldía,,Luis Francisco Zubeldía,99366,6,True,7,3.91,4.36,276,7.96,12,SAO,luis-zubeldia,0.01,,,,,,,,,,,,,2.0,,,,,,,
300,Michael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10,Michael,,Michael Richard Delgado de Oliveira,99392,5,False,6,0.0,3.89,262,8.08,12,FLA,michael,0.0,,7.0,1.0,2.0,3.0,2.0,,,,,1.0,1.0,,3.0,,,,,,
301,Baralhas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,10,Baralhas,,Gabriel Baralhas dos Santos,99440,4,True,7,3.2,2.22,287,5.31,12,VIT,baralhas,-0.15,2.0,14.0,14.0,1.0,4.0,6.0,,,,,,,,,,,,,,
302,Rossi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11,Rossi,,Agustín Daniel Rossi,99552,1,False,7,0.0,7.62,262,10.59,12,FLA,rossi,0.0,1.0,,,,,2.0,8.0,26.0,2.0,4.0,,,,,,,,,,
303,Arias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,11,Arias,,Jhon Adolfo Arias Andrade,99815,4,False,7,0.0,6.12,266,14.0,12,FLU,arias,0.0,1.0,11.0,14.0,4.0,6.0,31.0,,,,,1.0,1.0,,4.0,1.0,,,,,
304,Paulinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,Paulinho,,Paulo Henrique Sampaio Filho,99818,5,False,2,0.0,1.03,275,5.0,12,PAL,paulinho,0.0,,2.0,1.0,1.0,3.0,2.0,,,,,,1.0,,,,,,,,
305,A. Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,8,Alan Franco,,Alan Javier Franco,99889,3,True,7,4.2,2.39,276,6.45,12,SAO,alan-franco,0.36,1.0,7.0,6.0,,,3.0,2.0,,,,,1.0,,,,,,,,
306,I. Gomes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,10,Igor Gomes,,Igor Silveira Gomes,100084,4,True,6,4.7,3.18,282,5.91,12,CAM,igor-gomes,0.19,,4.0,7.0,2.0,3.0,4.0,,,,,2.0,,,1.0,,,,,,
307,P. Augusto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1,Pedro Augusto,,Pedro Augusto Borges da Costa,100085,4,False,6,0.0,-2.4,356,1.79,12,FOR,pedro-augusto,0.0,,1.0,3.0,,,,,,,,,,,,,,1.0,,,
308,Y. Alberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,10,Yuri Alberto,,Yuri Alberto Monteiro da Silva,100652,5,False,5,0.0,6.11,264,12.03,12,COR,yuri-alberto,0.0,2.0,1.0,11.0,4.0,13.0,10.0,,,,,5.0,2.0,,1.0,,,,,,
309,Fernando,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0,Fernando,,Fernando dos Santos Pedro,100695,5,False,5,0.0,0.0,280,5.0,12,RBB,fernando,0.0,,,,,,,,,,,,,,,,,,,,
310,M. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2,Matheus Henrique,,Matheus Henrique de Souza,100742,4,False,5,0.0,1.55,283,8.54,12,CRU,matheus-henrique,0.0,1.0,2.0,3.0,,,4.0,,,,,,,,,,,,,,
