,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
70,2,diogo-barbosa,70916,2.83,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,,Fluminense,0.74,False,D. Barbosa,7,0.0,Diogo Barbosa Mendanha,0.0,17,10,Diogo Barbosa,266,,7.0,5.0,,7.0,,,3.0,,,,,,,,,,,,
71,4,bruno-henrique,70944,5.45,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,,Internacional,2.97,False,B. Henrique,7,0.0,Bruno Henrique Corsini,0.0,17,13,Bruno Henrique,285,1.0,16.0,26.0,5.0,8.0,1.0,,2.0,,4.0,1.0,,,,,,,,,
72,4,jean-carlos,70958,9.38,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,,Juventude,5.04,True,J. Carlos,7,9.0,Jean Carlos Vicente,1.16,17,10,Jean Carlos,286,1.0,6.0,7.0,3.0,4.0,,,2.0,,6.0,4.0,1.0,,,,,,,,
73,4,payet,70984,6.04,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,,Vasco,3.46,False,Payet,6,0.0,Florent Dimitri Payet,0.0,17,5,Payet,267,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
74,3,pedro-henrique,71038,4.4,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,,Atlético-GO,2.8,False,P. Henrique,5,0.0,Pedro Henrique Pereira da Silva,0.0,17,6,Pedro Henrique,373,,7.0,6.0,1.0,2.0,,,2.0,,,,,2.0,,,,,,,
75,3,maicon,71227,4.75,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,,Vasco,2.79,True,Maicon,7,5.0,Maicon Pereira Roque,-0.05,17,15,Maicon,267,,12.0,8.0,1.0,6.0,,,3.0,,1.0,1.0,1.0,4.0,,,,,,,
76,4,luiz-gustavo,71536,4.89,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,,São Paulo,2.53,False,L. Gustavo,7,0.0,Luiz Gustavo Dias,0.0,17,10,Luiz Gustavo,276,,15.0,14.0,6.0,5.0,,,3.0,,6.0,,,,,,,,,,
77,1,weverton,71631,10.77,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,,Palmeiras,5.09,True,Weverton,7,5.0,Weverton Pereira da Silva,0.24,17,17,Weverton,275,1.0,1.0,,,1.0,,,1.0,,,,,8.0,54.0,13.0,,,,,
78,2,raul-caceres,71680,5.08,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,,Vitória,3.02,False,R. Cáceres,7,0.0,Raúl Alejandro Cáceres Bogado,0.0,17,7,Raúl Cáceres,287,1.0,10.0,6.0,,2.0,,,,,,,1.0,1.0,,,,,,,
79,3,gustavo-gomez,71684,9.23,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,,Palmeiras,5.02,True,G. Gómez,7,0.4,Gustavo Raúl Gómez Portillo,-1.39,17,9,Gustavo Gómez,275,2.0,7.0,14.0,1.0,7.0,,,3.0,,7.0,1.0,3.0,4.0,,,,,1.0,1.0,
