,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
512,K. Bruno,9.7,283,22,Kaiki Bruno da Silva,kaiki-bruno,Kaiki Bruno,2,,0.55,6,9,7.67,5.67,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_vh3WAlQ.png,True,112709,Cruzeiro,,2.0,22.0,12.0,,4.0,14.0,,4.0,,,,,,,,,,,
513,A. Moreno,-1.3,275,22,Aníbal Ismael Moreno,anibal-moreno,Aníbal Moreno,4,,-0.45,7,19,5.15,3.31,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_exCTW9r.png,True,112869,Palmeiras,1.0,5.0,33.0,17.0,4.0,10.0,15.0,1.0,,,1.0,,,,,,,,,
514,L. Barbosa,0.0,286,22,Lucas Henrique Barbosa,lucas-barbosa,Lucas Barbosa,5,,0.0,7,17,7.58,4.46,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v69l3WS.png,False,112886,Juventude,1.0,5.0,32.0,29.0,4.0,13.0,21.0,3.0,,1.0,4.0,,,,,,,,,
515,Sforza,0.0,267,22,Juan Sebastián Sforza,sforza,Sforza,4,,0.0,7,16,4.09,1.98,https://s.sde.globo.com/media/person_role/2024/02/19/photo_FORMATO.png,False,112906,Vasco,,3.0,15.0,12.0,1.0,2.0,13.0,1.0,,,,,,1.0,,,,,,
516,Peralta,0.0,283,22,Fabrizio José Peralta Ramírez,peralta,Peralta,4,,0.0,6,0,4.0,0.0,,False,112985,Cruzeiro,,,,,,,,,,,,,,,,,,,,
517,L. Wingert,0.0,286,22,Lucas Leandro Wingert,lucas-wingert,Lucas Wingert,1,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_wdQRVkb.png,False,113014,Juventude,,,,,,,,,,,,,,,,,,,,
518,K. Andrade,3.0,356,22,Kervin Mario Andrade Navarro,kervin-andrade,Kervin Andrade,4,,-0.32,6,5,5.97,3.56,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AOrvNkN.png,True,113073,Fortaleza,,1.0,6.0,3.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,
519,Mancuso,0.0,356,22,Eros Nazareno Mancuso,mancuso,Mancuso,2,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/08/09/photo_FORMATO_zxil4A5.png,False,113078,Fortaleza,,,,,,,,,,,,,,,,,,,,
520,F. López,2.0,275,22,José Manuel Alberto López,flaco-lopez,Flaco López,5,,-0.14,7,19,6.41,3.94,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_leI4Pi1.png,True,113103,Palmeiras,1.0,6.0,8.0,23.0,8.0,15.0,19.0,5.0,,,9.0,,,1.0,,,,,,
521,N. Mendes,5.0,280,22,Nathan Gabriel de Souza Mendes,nathan-mendes,Nathan Mendes,2,,-0.32,3,14,5.28,2.72,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_avgtjrS.png,True,113157,Bragantino,1.0,5.0,19.0,12.0,3.0,,11.0,,2.0,,1.0,,,,,,,,,
522,Marquinhos,0.0,266,22,Marcus Vinícius Oliveira Alencar,marquinhos,Marquinhos,5,,0.0,5,14,7.34,4.16,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_aBFrEHr.png,False,113158,Fluminense,1.0,2.0,20.0,15.0,6.0,7.0,28.0,,,,1.0,,,3.0,,,,,,
523,Michel,0.0,275,22,Michel Augusto Modesto Rafael dos Santos,michel,Michel,3,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2022/04/06/2e58e6fda93f2529e843b6dacea39be3_FORMATO.png,False,113159,Palmeiras,,,,,,,,,,,,,,,,,,,,
524,M. Varini,4.73,293,22,Martín Varini Di Zioli,martin-varini,Martín Varini,6,,-0.22,7,4,9.3,4.03,https://s.sde.globo.com/media/person_role/2024/07/07/photo_220x220_YwgRivm.png,True,113228,Athlético-PR,,,,,,,,,,,,,1.0,,,,,,,
525,P. Maia,0.0,276,22,Pablo Gonçalves Maia Fortunato,pablo-maia,Pablo Maia,4,,0.0,5,3,6.49,2.73,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_h3xykq1.png,False,113359,São Paulo,,,4.0,6.0,,4.0,4.0,,,,,,,,,,,,,
526,D. Queiroz,0.0,284,22,Eduardo Santos Queiroz,du-queiroz,Du Queiroz,4,,0.0,6,13,4.21,1.9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_XOn9XLw.png,False,113687,Grêmio,,2.0,19.0,6.0,3.0,2.0,1.0,,,,,,,,,,,,,
527,D. Mendes,0.8,280,22,Douglas Mendes Moreira,douglas-mendes,Douglas Mendes,3,,-0.08,7,9,2.51,1.48,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_DOCYU5o.png,True,114311,Bragantino,,1.0,4.0,9.0,,2.0,1.0,,2.0,,,,,,,,,,,
528,Gamarra,-0.5,293,22,Mateo Gamarra González,gamarra,Gamarra,3,,-0.43,6,10,5.94,3.39,https://s.sde.globo.com/media/person_role/2024/01/10/photo_FORMATO_IjL8XS2.png,True,114334,Athlético-PR,,5.0,16.0,11.0,2.0,5.0,3.0,,3.0,,,,,,,,,,,
529,J. Tavares,1.5,1371,22,Juan Pablo Vilela Tavares,juan-tavares,Juan Tavares,2,,0.46,6,1,1.46,1.5,https://s.sde.globo.com/media/person_role/2024/05/02/photo_220x220.png,True,114497,Cuiabá,,,2.0,3.0,,,,,,,,,,,,,,,,
530,Cleiton,0.0,262,22,Cleiton Santana dos Santos,cleiton,Cleiton,3,,0.0,6,1,2.13,0.8,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_TNiLoQL.png,False,114790,Flamengo,,,,,,1.0,,,,,,,,,,,,,,
531,T. Lara,0.0,356,22,Thauan Lara dos Santos,thauan-lara,Thauan Lara,2,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_zPksBsJ.png,False,115061,Fortaleza,,,,,,,,,,,,,,,,,,,,
532,L. Freitas,2.1,286,22,Lucas de Freitas Molarinho Chagas,lucas-freitas,Lucas Freitas,3,,-0.08,6,7,2.59,2.08,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_JGN1KdH.png,True,115141,Juventude,,,7.0,6.0,,2.0,3.0,,2.0,1.0,1.0,,,,,,2.0,,,
533,C. Matheus,0.0,276,22,Caio Matheus da Silva,caio-matheus,Caio Matheus,5,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2022/04/06/c624743dce9149ef9c0122f7eabd3337_FORMATO.png,False,115227,São Paulo,,,,,,,,,,,,,,,,,,,,
534,Wesley,3.8,262,22,Wesley Vinícius França Lima,wesley,Wesley,2,,0.05,7,16,5.28,3.78,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_zY4BtV3.png,True,115239,Flamengo,1.0,1.0,30.0,19.0,1.0,4.0,24.0,,2.0,,2.0,,,1.0,,,,,1.0,
535,Naves,0.0,275,22,Kaiky Marques Naves,naves,Naves,3,,0.0,7,9,5.75,3.59,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_SDs96Yd.png,False,115246,Palmeiras,,1.0,14.0,16.0,,1.0,1.0,,4.0,,,,,,,,,,,
536,J. Jhon,0.0,280,22,Jhonatan dos Santos Rosa,jhon-jhon,Jhon Jhon,4,,0.0,6,5,7.38,5.7,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_LO4nXCP.png,False,115248,Bragantino,1.0,,10.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,
537,R. Viana,0.0,293,22,Renan Rodrigues Fonseca Viana,renan-viana,Renan Viana,5,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_pf3ihrT.png,False,115266,Athlético-PR,,,,,,,,,,,,,,,,,,,,
538,Rômulo,0.0,282,22,Rômulo Helberte Pereira Junior,romulo,Rômulo,3,,0.0,6,8,2.28,2.36,https://s.sde.globo.com/media/person_role/2024/04/13/photo_FORMATO_MSj6UGK.png,False,115268,Atlético-MG,,2.0,13.0,9.0,,3.0,1.0,1.0,,1.0,,,,,,,,,,
539,Emersonn,0.0,293,22,Emersonn Correia da Silva,emersonn,Emersonn,5,,0.0,6,4,2.38,2.35,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_8cy9qvA.png,False,115273,Athlético-PR,,,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
540,Y. Souto,0.0,286,22,Yan da Cruz Souto,yan-souto,Yan Souto,3,,-0.22,6,1,1.78,0.0,https://s.sde.globo.com/media/person_role/2024/07/21/photo_FORMATO_4OIbgLq.png,True,115511,Juventude,,,,,,,,,,,,,,,,,,,,
541,Iarley,0.0,356,22,Iarley Gilberto de Barros Leal,iarley,Iarley,5,,0.0,6,0,1.0,0.0,,False,115524,Fortaleza,,,,,,,,,,,,,,,,,,,,
542,M. Victor,0.0,265,22,Marcos Victor Ferreira da Silva,marcos-victor,Marcos Victor,3,,0.0,6,0,2.58,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Cxk2KLL.png,False,115537,Bahia,,1.0,,,,,,,,,,,,,,,,,,
543,M. Paulo,0.0,280,22,Marcos Paulo Lima Batista Silva,marcos-paulo,Marcos Paulo,2,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_OfzIXTE.png,False,115594,Bragantino,,,,,,,,,,,,,,,,,,,,
544,Mila,0.0,284,22,Lucas Eduardo Müller - Milla,mila,Mila,4,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_9SO9AOT.png,False,115671,Grêmio,,,,,,,,,,,,,,,,,,,,
545,G. Delfim,0.0,282,22,Gabriel Delfim Ferreira,gabriel-delfim,Gabriel Delfim,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_ke74jzP.png,False,115674,Atlético-MG,,,,,,,,,,,,,,,,,,,,
546,E. Araújo,0.0,262,22,Everton Gustavo Fernandes Araújo,evertton-araujo,Evertton Araújo,4,,0.0,6,4,2.93,2.22,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_TQMbzmd.png,False,115914,Flamengo,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,
547,Lelê,0.0,266,22,Leanderson da Silva Genésio,lele,Lelê,5,,0.0,5,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rQc4WPL.png,False,115915,Fluminense,,,,,,,,,,,,,,,,,,,,
548,Denilson,0.0,1371,22,Denilson Alves Borges,denilson,Denilson,4,,0.0,7,15,3.28,2.22,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dCrOJqx.png,False,115986,Cuiabá,1.0,3.0,16.0,15.0,5.0,7.0,12.0,,,,,,,,,,1.0,,,
549,M. Gonçalves,0.0,262,22,Matheus Gonçalves Martins,matheus-goncalves,Matheus Gonçalves,4,,0.0,6,5,3.56,1.5,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_LLLLcT1.png,False,116012,Flamengo,,1.0,4.0,7.0,2.0,3.0,2.0,,,,,,,,,,,,,
550,I. Jesus,0.0,262,22,Igor Jesus Lima,igor-jesus,Igor Jesus,4,,0.0,6,3,3.9,1.9,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_dY49V4i.png,False,116013,Flamengo,,1.0,5.0,1.0,,,2.0,,,,,,,,,,,,,
551,Petterson,0.0,293,22,Petterson Novaes Reis,petterson,Petterson,5,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_x9GN6Vh.png,False,116025,Athlético-PR,,,,,,,,,,,,,,,,,,,,
552,V. Hugo,0.0,262,22,Victor Hugo Gomes Silva,victor-hugo,Victor Hugo,4,,0.0,6,9,2.54,0.54,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_tzeghN4.png,False,116034,Flamengo,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
553,Z. Hugo,3.8,287,22,José Hugo Sousa dos Santos,ze-hugo,Zé Hugo,5,,-0.46,6,14,4.54,3.1,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_csNTrnu.png,True,116056,Vitória,2.0,1.0,8.0,9.0,3.0,3.0,9.0,1.0,,,,,,3.0,,,,,,
554,Cuiabano,11.6,263,22,Luís Eduardo Soares da Silva,cuiabano,Cuiabano,2,,1.39,7,17,10.09,7.18,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_EU50mMf.png,True,116065,Botafogo,3.0,3.0,29.0,28.0,6.0,6.0,25.0,4.0,5.0,,,,,1.0,,,1.0,,,
555,T. Beltrame,0.0,284,22,Thiago Beltrame Stallbaum,thiago-beltrame,Thiago Beltrame,1,,0.0,6,0,1.0,0.0,,False,116067,Grêmio,,,,,,,,,,,,,,,,,,,,
556,J. Moreira,7.8,276,22,João Moreira Sanmartin Souza,joao-moreira,João Moreira,2,,1.29,6,2,7.62,7.45,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_1S7B5MC.png,True,116137,São Paulo,,,3.0,3.0,1.0,,2.0,,2.0,,,,,,,,,,,
557,Hércules,0.0,356,22,Hércules Pereira do Nascimento,hercules,Hércules,4,,0.0,6,17,4.79,2.46,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_THe8tWf.png,False,116447,Fortaleza,1.0,4.0,25.0,22.0,2.0,5.0,6.0,1.0,,2.0,,,,2.0,,,,,,
558,D. Yorio,4.0,293,22,Lucas Gabriel Di Yorio,di-yorio,Di Yorio,5,,0.29,6,10,4.81,3.52,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_EU2wJae.png,True,116655,Athlético-PR,,1.0,3.0,7.0,4.0,4.0,6.0,3.0,,,2.0,,,,,,,,,
559,K. Moroso,0.0,288,22,Kauã Inacio Moroso,kaua-moroso,Kauã Moroso,1,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_gRwmtlH.png,False,116937,Criciúma,,,,,,,,,,,,,,,,,,,,
560,G. Silva,0.0,288,22,Guilherme Silva,guilherme-silva,Guilherme Silva,2,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_225vQMn.png,False,116939,Criciúma,,,,,,,,,,,,,,,,,,,,
561,Popó,0.0,286,22,Werik Silva Pinto,popo,Popó,5,,0.0,6,5,0.64,-0.44,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EiH3NWS.png,False,116994,Juventude,,,1.0,4.0,,1.0,,,,1.0,,,,,,,,,,
562,Gabriel,0.0,1371,22,Gabriel Knesowitsch,gabriel,Gabriel,3,,0.0,6,2,2.32,1.95,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_vJGFbMn.png,False,117061,Cuiabá,,,2.0,,,,3.0,,,,,,,,,,,,,
563,T. Borbas,0.0,280,22,Thiago Nicolás Borbas Silva,thiago-borbas,Thiago Borbas,5,,0.0,6,17,3.73,0.92,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_B328S5W.png,False,117314,Bragantino,,2.0,4.0,18.0,5.0,2.0,6.0,1.0,,,1.0,,,,,,,,,
564,R. Renan,1.8,285,22,Robert Renan Alves Barbosa,robert-renan,Robert Renan,3,,-0.4,7,12,6.87,3.8,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_cScwdGd.png,True,117330,Internacional,1.0,2.0,22.0,15.0,1.0,2.0,,,3.0,,,,,1.0,,,,,,
565,G. Souza,0.0,265,22,Gabriel Gonçalves de Souza,gabriel-souza,Gabriel Souza,1,,0.0,6,0,1.0,0.0,,False,117339,Bahia,,,,,,,,,,,,,,,,,,,,
566,Kawan,0.0,263,22,Kawan Thomaz Reis de Moraes,kawan,Kawan,3,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2022/05/04/53923487da15da09cccfd077e342fab3_FORMATO.png,False,117343,Botafogo,,,,,,,,,,,,,,,,,,,,
567,Jhosefer,0.0,283,22,Jhosefer Raphael Januário,jhosefer,Jhosefer,5,,0.0,6,0,1.0,0.0,,False,117350,Cruzeiro,,,,,,,,,,,,,,,,,,,,
568,Otávio,0.0,283,22,Otávio Eleodoro Rezende Costa,otavio,Otávio,1,,0.0,6,0,1.0,0.0,,False,117404,Cruzeiro,,,,,,,,,,,,,,,,,,,,
569,L. Maná,0.0,264,22,Leonardo Mana Hernandes,leo-mana,Léo Maná,2,,0.0,6,5,1.11,0.24,https://s.sde.globo.com/media/person_role/2022/07/02/5c3199a34de47846ae66a0560d4e7417_FORMATO.png,False,117459,Corinthians,,1.0,3.0,3.0,,,1.0,,,,,,,,,,1.0,,,
570,Galoppo,0.0,276,22,Giuliano Galoppo,galoppo,Galoppo,4,,0.0,6,10,4.32,1.44,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_EntLJJn.png,False,117579,São Paulo,,2.0,6.0,7.0,4.0,5.0,5.0,,,,,,,,,,,,,
571,A. Cruz,0.0,373,22,Alejo Cruz Techera,alejo-cruz,Alejo Cruz,5,,-0.06,7,19,2.18,1.14,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_4JP0Dfv.png,True,117622,Atlético-GO,,3.0,13.0,11.0,3.0,2.0,14.0,,,,1.0,,,,,,,,,
572,Garro,6.9,264,22,Rodrigo Garro,garro,Garro,4,,0.58,7,20,8.97,6.02,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_5Gp0vVv.png,True,117632,Corinthians,3.0,7.0,24.0,20.0,17.0,13.0,66.0,3.0,,,2.0,,,1.0,,,1.0,,,
573,P. Caixinha,3.82,280,22,Pedro Miguel Faria Caixinha,pedro-caixinha,Pedro Caixinha,6,,-0.28,7,19,8.57,4.73,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LvzP4JH.png,True,117711,Bragantino,,,,,,,,,,,,,7.0,,,,,,,
574,Young,0.0,276,22,Young Navarro Moraes,young,Young,1,,0.0,6,0,0.64,-1.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Qtf8rgq.png,False,117818,São Paulo,,1.0,,,,,,,,,,,,,,,,,,
575,Vitinho,-0.3,283,22,Vitor Hugo Amorim de Assis,vitinho,Vitinho,4,,-0.13,6,14,2.32,1.46,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_bhMj4uh.png,True,117842,Cruzeiro,,1.0,3.0,3.0,1.0,5.0,5.0,1.0,,,1.0,,,1.0,,,,,,
576,Giovane,3.8,264,22,Giovane Santana do Nascimento,giovane,Giovane,5,,-0.64,7,9,3.3,2.49,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XV66WsM.png,True,117849,Corinthians,,1.0,,6.0,3.0,6.0,6.0,1.0,,,2.0,,,2.0,,,,,,
577,Wesley,1.0,264,22,Wesley Gassova Ribeiro Teixeira,wesley,Wesley,5,,-0.81,6,22,6.0,3.74,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_KAHpgBA.png,True,117909,Corinthians,1.0,2.0,25.0,16.0,11.0,9.0,36.0,2.0,,,3.0,,,,,,,,,
578,B. Bidon,0.5,264,22,Breno de Souza Bidon,breno-bidon,Breno Bidon,4,,-0.33,6,16,3.18,2.33,https://s.sde.globo.com/media/person_role/2022/07/02/7c27a7fcaaaccdedd144a0e9af0c0e2d_FORMATO.png,True,117910,Corinthians,,3.0,23.0,19.0,4.0,2.0,24.0,,,,1.0,,,,,,,,,
579,Iago,0.0,262,22,Iago Teodoro da Silva Nogueira,iago,Iago,3,,0.0,6,0,1.0,0.0,,False,118090,Flamengo,,,,,,,,,,,,,,,,,,,,
580,N. Camargo,0.0,280,22,Nathan Camargo dos Santos,nathan-camargo,Nathan Camargo,4,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_6uXqvAE.png,False,118175,Bragantino,,,,,,,,,,,,,,,,,,,,
581,Ronald,-0.3,284,22,Ronald Cardoso Falkoski,ronald,Ronald,4,,-0.45,6,4,2.41,0.23,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_KF8k6Z6.png,True,118238,Grêmio,,,1.0,1.0,,,,,,,,,,,,,,,,
582,Pedrão,0.0,283,22,Pedro Henrique Franklim da Silva,pedrao,Pedrão,3,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lueB4Je.png,False,118293,Cruzeiro,,,,,,,,,,,,,,,,,,,,
583,Eliédson,0.0,288,22,Eliédson Pereira de Souza,eliedson,Eliédson,4,,-0.14,6,2,2.13,-0.15,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_Y7jZjrx.png,True,118305,Criciúma,,,,1.0,,,,,,,,,,,,,,,,
584,Weliton,0.0,262,22,Weliton Santos do Amaral,weliton,Weliton,5,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_Evh0gJv.png,False,118433,Flamengo,,,,,,,,,,,,,,,,,,,,
585,Jackson,0.0,288,22,Jackson Henrique Marcelino Crispim,jackson,Jackson,3,,0.0,6,0,1.0,0.0,,False,118490,Criciúma,,,,,,,,,,,,,,,,,,,,
586,Z. Welinton,0.0,262,22,José Welinton Campos Menezes,ze-welinton,Zé Welinton,2,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2022/06/29/eb9c2188bfd2d30e670faa55785ea3f2_FORMATO.png,False,118501,Flamengo,,,,,,,,,,,,,,,,,,,,
587,Rodriguinho,0.0,276,22,Rodrigo Huendra Almeida Mendonça,rodriguinho,Rodriguinho,4,,0.0,6,2,3.13,2.7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TBiswrq.png,False,118563,São Paulo,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
588,Eliel,0.0,1371,22,Eliel Chrytian Pereira Silva,eliel,Eliel,5,,-0.13,6,11,3.89,2.15,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_t0Fw29t.png,True,118745,Cuiabá,,1.0,6.0,3.0,2.0,3.0,11.0,1.0,,,,,,,,,,,,
589,M. Carvalho,2.3,267,22,Mateus Carvalho dos Santos,mateus-carvalho,Mateus Carvalho,4,,0.04,7,17,5.92,3.94,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_JfIekB6.png,True,118752,Vasco,,6.0,41.0,25.0,3.0,2.0,20.0,2.0,,,1.0,,,,,,,,,
590,Alexsander,0.6,266,22,Alexsander Christian Gomes da Costa - Cristhian,alexsander,Alexsander,4,,-0.29,2,13,5.12,2.34,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_35s5NpC.png,True,118774,Fluminense,1.0,3.0,15.0,15.0,3.0,4.0,16.0,,,,,,,,,,,,,
591,L. Díaz,-0.1,283,22,Lautaro Ariel Díaz,lautaro-diaz,Lautaro Díaz,5,,-1.01,7,5,5.73,2.88,https://s.sde.globo.com/media/person_role/2024/07/01/photo_220x220_UT1KNbY.png,True,118775,Cruzeiro,,1.0,7.0,7.0,1.0,,,1.0,,,1.0,,,,,,,,,
592,Ruan,0.0,286,22,Ruan Pereira Duarte,ruan,Ruan,5,,0.0,6,6,1.59,1.12,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_FNxwSO0.png,False,120444,Juventude,,,3.0,5.0,2.0,1.0,3.0,,,,1.0,,,,,,,,,
593,A. Sousa,0.0,264,22,Arthur Sousa Araújo,arthur-sousa,Arthur Sousa,5,,0.0,6,1,1.99,0.5,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_pbRL2zS.png,False,120856,Corinthians,,,,,,,1.0,,,,,,,,,,,,,
594,E. Marcus,0.0,267,22,Erick Marcus dos Santos Oliveira do Carmo,erick-marcus,Erick Marcus,5,,0.0,6,5,2.94,1.3,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_NNvdTOg.png,False,121184,Vasco,,1.0,3.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,
595,Dija,0.0,280,22,Diego Kauan Silva Santos,dija,Dija,2,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2022/10/22/photo_220x220.png,False,121220,Bragantino,,,,,,,,,,,,,,,,,,,,
596,Kauan,0.0,356,22,Kauan Rodrigues da Silva,kauan,Kauan,4,,0.0,6,3,1.87,0.73,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_g8uOoWo.png,False,121237,Fortaleza,,,1.0,,,,2.0,,,,,,,,,,,,,
597,E. Júnior,1.2,373,22,Eli Silvano Kovalik Júnior,eli-junior,Eli Júnior,5,,0.35,6,1,1.35,1.2,https://s.sde.globo.com/media/person_role/2024/08/11/photo_220x220_ZPyikzh.png,True,121331,Atlético-GO,,,,,1.0,,,,,,,,,,,,,,,
598,D. Rocha,0.0,286,22,Cauê Pereira da Rocha,da-rocha,Da Rocha,2,,0.0,6,0,1.0,0.0,,False,121397,Juventude,,,,,,,,,,,,,,,,,,,,
599,G. Madruga,0.0,1371,22,Guilherme Miranda Madruga Gomes,guilherme-madruga,Guilherme Madruga,4,,0.0,6,4,1.98,-0.25,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_sRg7Zjl.png,False,121762,Cuiabá,,1.0,,4.0,1.0,,,,,,,,,,,,,,,
600,André,0.0,284,22,André Henrique da Silva Martins,andre,André,5,,0.0,5,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_AwvmyTT.png,False,121792,Grêmio,,,,,,,,,,,,,,,,,,,,
601,Kayke,0.0,264,22,Kayke Ferrari Guimarães,kayke,Kayke,4,,0.0,6,2,0.79,0.0,,False,121824,Corinthians,,,,,,,,,,,,,,,,,,,,
602,Kauê,0.0,263,22,Kauê Rodrigues Pessanha,kaue,Kauê,4,,0.0,6,8,1.93,1.32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_zW6WD4H.png,False,121827,Botafogo,,,1.0,4.0,,2.0,2.0,1.0,,,,,,,,,,,,
603,Janderson,2.4,287,22,Janderson de Carvalho Costa,janderson,Janderson,5,,0.44,2,14,4.28,2.55,https://s.sde.globo.com/media/person_role/2024/04/23/photo_FORMATO.png,True,121830,Vitória,,5.0,15.0,15.0,4.0,10.0,13.0,1.0,,,2.0,,,,,,,,,
604,Kennedy,0.0,265,22,Kennedy Anderson Gomes Ferreira,kennedy,Kennedy,5,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_nXCTAYa.png,False,122301,Bahia,,,,,,,,,,,,,,,,,,,,
605,M. Macedo,0.0,373,22,Matheus Macedo dos Santos,mateus-macedo,Mateus Macedo,3,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_3LMCTRH.png,False,122317,Atlético-GO,,,,,,,,,,,,,,,,,,,,
